Epoch: 0, Next KL: 86.3032, Next Recon Loss: 0.0015, Pred Loss: 3543.3030, Pred Recon Loss: 0.0016, MDN Loss: 0.5345
Epoch: 1, Next KL: 118.2769, Next Recon Loss: 0.0004, Pred Loss: 160.2043, Pred Recon Loss: 0.0005, MDN Loss: 0.3564
Epoch: 2, Next KL: 121.9785, Next Recon Loss: 0.0003, Pred Loss: 42.1614, Pred Recon Loss: 0.0004, MDN Loss: 0.2629
Epoch: 3, Next KL: 135.5343, Next Recon Loss: 0.0003, Pred Loss: 11.6380, Pred Recon Loss: 0.0003, MDN Loss: 0.1721
Epoch: 4, Next KL: 147.0695, Next Recon Loss: 0.0003, Pred Loss: 5.7437, Pred Recon Loss: 0.0003, MDN Loss: 0.0817
Epoch: 5, Next KL: 155.4476, Next Recon Loss: 0.0003, Pred Loss: 2.9369, Pred Recon Loss: 0.0003, MDN Loss: -0.0104
Epoch: 6, Next KL: 161.3066, Next Recon Loss: 0.0003, Pred Loss: 2.5937, Pred Recon Loss: 0.0003, MDN Loss: -0.1058
Epoch: 7, Next KL: 165.9136, Next Recon Loss: 0.0003, Pred Loss: 1.8749, Pred Recon Loss: 0.0003, MDN Loss: -0.2061
Epoch: 8, Next KL: 169.9844, Next Recon Loss: 0.0003, Pred Loss: 1.3019, Pred Recon Loss: 0.0003, MDN Loss: -0.3122
Epoch: 9, Next KL: 173.4101, Next Recon Loss: 0.0003, Pred Loss: 1.5212, Pred Recon Loss: 0.0003, MDN Loss: -0.4242
Epoch: 10, Next KL: 176.4489, Next Recon Loss: 0.0003, Pred Loss: 1.0182, Pred Recon Loss: 0.0003, MDN Loss: -0.5415
Epoch: 11, Next KL: 179.2651, Next Recon Loss: 0.0003, Pred Loss: 0.9025, Pred Recon Loss: 0.0003, MDN Loss: -0.6629
Epoch: 12, Next KL: 181.7343, Next Recon Loss: 0.0003, Pred Loss: 0.7230, Pred Recon Loss: 0.0003, MDN Loss: -0.7869
Epoch: 13, Next KL: 183.9870, Next Recon Loss: 0.0003, Pred Loss: 0.8065, Pred Recon Loss: 0.0003, MDN Loss: -0.9116
Epoch: 14, Next KL: 185.9458, Next Recon Loss: 0.0003, Pred Loss: 1.1964, Pred Recon Loss: 0.0003, MDN Loss: -1.0353
Epoch: 15, Next KL: 172.1495, Next Recon Loss: 0.0003, Pred Loss: 158.9791, Pred Recon Loss: 0.0003, MDN Loss: -1.0051
Epoch: 16, Next KL: 130.6296, Next Recon Loss: 0.0003, Pred Loss: 76.1103, Pred Recon Loss: 0.0003, MDN Loss: -1.1518
Epoch: 17, Next KL: 133.6451, Next Recon Loss: 0.0003, Pred Loss: 24.7489, Pred Recon Loss: 0.0003, MDN Loss: -1.2962
Epoch: 18, Next KL: 148.5398, Next Recon Loss: 0.0003, Pred Loss: 10.3078, Pred Recon Loss: 0.0003, MDN Loss: -1.4226
Epoch: 19, Next KL: 158.8565, Next Recon Loss: 0.0003, Pred Loss: 3.7920, Pred Recon Loss: 0.0003, MDN Loss: -1.5452
Epoch: 20, Next KL: 165.5461, Next Recon Loss: 0.0003, Pred Loss: 1.6941, Pred Recon Loss: 0.0003, MDN Loss: -1.6648
Epoch: 21, Next KL: 170.7986, Next Recon Loss: 0.0003, Pred Loss: 1.0177, Pred Recon Loss: 0.0003, MDN Loss: -1.7813
Epoch: 22, Next KL: 174.9092, Next Recon Loss: 0.0003, Pred Loss: 0.9019, Pred Recon Loss: 0.0003, MDN Loss: -1.8955
Epoch: 23, Next KL: 178.3391, Next Recon Loss: 0.0003, Pred Loss: 0.7662, Pred Recon Loss: 0.0003, MDN Loss: -2.0083
Epoch: 24, Next KL: 181.2484, Next Recon Loss: 0.0003, Pred Loss: 0.7076, Pred Recon Loss: 0.0003, MDN Loss: -2.1198
Epoch: 25, Next KL: 183.7836, Next Recon Loss: 0.0003, Pred Loss: 0.5996, Pred Recon Loss: 0.0003, MDN Loss: -2.2308
Epoch: 26, Next KL: 186.0147, Next Recon Loss: 0.0003, Pred Loss: 0.5321, Pred Recon Loss: 0.0003, MDN Loss: -2.3414
Epoch: 27, Next KL: 188.0298, Next Recon Loss: 0.0003, Pred Loss: 0.5157, Pred Recon Loss: 0.0003, MDN Loss: -2.4512
Epoch: 28, Next KL: 189.8889, Next Recon Loss: 0.0003, Pred Loss: 0.4890, Pred Recon Loss: 0.0003, MDN Loss: -2.5591
Epoch: 29, Next KL: 191.4135, Next Recon Loss: 0.0003, Pred Loss: 1.9743, Pred Recon Loss: 0.0003, MDN Loss: -2.6221
Epoch: 30, Next KL: 191.2708, Next Recon Loss: 0.0003, Pred Loss: 3.2055, Pred Recon Loss: 0.0003, MDN Loss: -2.6304
Epoch: 31, Next KL: 190.4151, Next Recon Loss: 0.0003, Pred Loss: 1.8517, Pred Recon Loss: 0.0003, MDN Loss: -2.7934
Epoch: 32, Next KL: 190.5484, Next Recon Loss: 0.0003, Pred Loss: 1.0004, Pred Recon Loss: 0.0003, MDN Loss: -2.9006
Epoch: 33, Next KL: 191.6191, Next Recon Loss: 0.0003, Pred Loss: 0.8385, Pred Recon Loss: 0.0003, MDN Loss: -2.9961
