58430 1192
1 21 15
1 22 23
1 31 13
1 33 73
1 37 77
1 43 36
1 49 30
1 51 1
1 57 12
1 59 46
1 62 1
1 67 20
1 68 21
1 79 48
1 87 83
1 89 57
1 90 45
1 93 63
1 97 95
1 101 28
1 103 1
1 107 75
1 111 36
1 112 22
1 115 2
1 116 13
1 117 62
1 123 44
1 124 1
1 125 93
1 128 8
1 133 19
1 134 66
1 136 30
1 141 76
1 145 15
1 148 63
1 156 3
1 165 35
1 166 12
1 169 9
1 173 20
1 175 64
1 176 20
1 185 53
1 187 27
1 194 33
1 197 87
1 199 85
1 203 17
1 210 62
1 218 36
1 221 60
1 226 13
1 227 54
1 230 82
1 232 85
1 237 45
1 247 92
1 251 20
1 259 13
1 261 66
1 268 29
1 269 11
1 270 68
1 271 47
1 273 96
1 275 1
1 279 83
1 282 60
1 284 67
1 286 71
1 287 4
1 294 11
1 295 37
1 298 4
1 299 62
1 300 94
1 304 88
1 305 75
1 306 21
1 309 75
1 312 3
1 314 12
1 318 56
1 321 85
1 322 26
1 324 61
1 336 44
1 338 64
1 342 99
1 343 90
1 348 30
1 353 84
1 356 43
1 357 80
1 358 16
1 373 60
1 375 33
1 376 70
1 380 11
1 382 17
1 383 60
1 387 63
1 390 49
1 392 30
1 394 85
1 399 62
1 401 94
1 402 68
1 403 83
1 405 34
1 413 85
1 417 30
1 425 14
1 426 27
1 427 23
1 433 58
1 435 68
1 436 67
1 452 99
1 453 30
1 454 20
1 459 14
1 463 28
1 467 34
1 469 25
1 476 19
1 477 14
1 478 73
1 480 2
1 481 50
1 486 83
1 487 54
1 489 12
1 490 58
1 491 81
1 495 89
1 506 41
1 507 84
1 516 72
1 517 38
1 519 66
1 522 95
1 523 62
1 524 99
1 526 86
1 530 86
1 536 76
1 544 56
1 548 30
1 550 81
1 551 38
1 552 58
1 555 90
1 557 62
1 558 28
1 559 24
1 560 98
1 568 14
1 572 89
1 575 16
1 578 49
1 580 76
1 581 14
1 584 18
1 586 18
1 590 13
1 591 99
1 592 62
1 594 44
1 604 81
1 606 81
1 607 58
1 608 65
1 610 16
1 611 17
1 614 53
1 615 86
1 616 84
1 617 55
1 622 24
1 623 28
1 628 51
1 629 23
1 631 53
1 632 20
1 636 96
1 637 17
1 639 45
1 641 58
1 651 43
1 652 18
1 654 22
1 658 18
1 660 75
1 663 31
1 669 93
1 671 45
1 673 63
1 674 14
1 676 2
1 678 26
1 680 47
1 682 3
1 685 48
1 693 16
1 696 36
1 699 36
1 702 85
1 708 28
1 709 95
1 710 37
1 718 54
1 720 74
1 722 95
1 726 7
1 729 55
1 733 23
1 738 37
1 739 27
1 741 17
1 742 27
1 745 6
1 747 70
1 748 23
1 749 89
1 752 96
1 754 65
1 760 46
1 765 2
1 770 70
1 779 49
1 781 21
1 783 12
1 786 35
1 791 72
1 793 76
1 794 22
1 795 81
1 796 17
1 802 21
1 803 75
1 805 45
1 806 59
1 808 94
1 812 23
1 815 60
1 817 39
1 818 41
1 820 93
1 824 57
1 826 66
1 827 18
1 830 39
1 833 97
1 837 92
1 840 54
1 841 83
1 849 20
1 850 18
1 852 11
1 857 63
1 859 55
1 861 9
1 862 96
1 863 89
1 866 23
1 868 6
1 869 31
1 870 22
1 871 26
1 874 16
1 876 83
1 878 29
1 889 41
1 890 80
1 892 72
1 900 34
1 902 55
1 903 48
1 905 43
1 913 29
1 914 84
1 916 59
1 918 10
1 924 62
1 929 43
1 931 16
1 933 84
1 942 28
1 944 29
1 946 66
1 947 83
1 948 36
1 949 30
1 951 38
1 952 73
1 953 42
1 957 15
1 962 26
1 963 76
1 965 86
1 968 55
1 969 14
1 971 14
1 974 57
1 975 75
