24421 521
1 3 50
1 4 49
1 6 15
1 8 4
1 9 7
1 11 70
1 16 18
1 20 14
1 21 33
1 25 40
1 26 2
1 28 51
1 29 90
1 30 41
1 32 25
1 33 56
1 34 40
1 35 32
1 37 87
1 42 86
1 43 79
1 46 42
1 47 6
1 48 74
1 49 95
1 52 12
1 53 37
1 56 99
1 58 19
1 59 14
1 62 69
1 63 21
1 64 37
1 66 51
1 67 23
1 68 95
1 69 2
1 70 65
1 72 75
1 73 37
1 74 1
1 76 66
1 77 75
1 80 14
1 82 22
1 83 35
1 86 28
1 88 36
1 90 23
1 93 96
1 94 6
1 95 4
1 96 15
1 97 75
1 100 27
1 101 84
1 106 87
1 109 9
1 110 31
1 111 87
1 115 57
1 119 93
1 121 98
1 122 64
1 128 97
1 132 86
1 137 30
1 139 42
1 142 46
1 143 94
1 144 59
1 145 93
1 146 48
1 147 19
1 149 57
1 151 86
1 153 1
1 155 26
1 157 51
1 158 19
1 161 65
1 162 84
1 163 84
1 164 50
1 166 9
1 169 54
1 172 24
1 173 76
1 174 19
1 175 30
1 176 79
1 179 32
1 182 44
1 183 29
1 184 81
1 185 39
1 188 44
1 189 25
1 193 49
1 194 88
1 195 4
1 198 28
1 202 40
1 203 54
1 206 68
1 209 16
1 211 26
1 214 68
1 215 18
1 217 40
1 220 40
1 221 67
1 222 63
1 223 6
1 225 12
1 226 93
1 228 24
1 229 30
1 232 32
1 233 54
1 235 21
1 236 13
1 237 78
1 238 57
1 240 79
1 243 91
1 244 58
1 246 43
1 247 58
1 248 77
1 249 76
1 251 10
1 252 22
1 255 97
1 256 96
1 258 90
1 261 26
1 262 67
1 266 25
1 270 90
1 272 72
1 273 75
1 274 5
1 276 45
1 277 13
1 278 92
1 279 85
1 280 62
1 282 26
1 287 77
1 289 21
1 290 87
1 291 37
1 292 11
1 293 51
1 298 71
1 299 93
1 300 55
1 305 79
1 307 46
1 312 58
1 313 4
1 317 42
1 319 60
1 321 4
1 322 95
1 323 59
1 324 13
1 326 65
1 327 68
1 328 45
1 330 10
1 332 19
1 333 63
1 334 51
1 336 24
1 337 84
1 338 69
1 340 57
1 342 37
1 347 29
1 348 30
1 349 97
1 350 94
1 352 78
1 355 21
1 356 96
1 359 78
1 361 19
1 362 85
1 363 92
1 364 25
1 366 18
1 368 14
1 370 52
1 371 92
1 376 6
1 377 20
1 378 92
1 379 53
1 380 9
1 382 19
1 383 13
1 384 41
1 388 11
1 389 64
1 390 54
1 391 78
1 393 80
1 394 51
1 396 82
1 399 49
1 401 51
1 402 94
1 403 78
1 404 71
1 405 49
1 409 29
1 411 45
1 412 28
1 413 11
1 414 31
1 416 72
1 417 74
1 418 24
1 420 62
1 421 63
1 423 26
1 425 72
1 426 6
1 427 71
1 428 92
1 429 57
1 430 32
1 431 71
1 432 91
1 433 20
1 435 31
1 436 91
1 437 72
1 438 6
1 439 17
1 440 39
1 441 24
1 443 24
1 446 59
1 448 42
1 449 77
1 451 67
1 453 61
1 456 17
1 458 25
1 461 15
1 466 31
1 468 93
1 470 84
1 471 58
1 472 87
1 473 49
1 474 87
1 475 64
1 477 21
1 480 72
1 481 58
1 482 52
1 483 17
1 484 53
1 486 64
1 491 63
1 492 17
1 495 73
1 497 83
1 498 33
1 501 78
1 504 87
1 508 60
1 511 44
1 512 65
1 513 95
1 516 73
1 517 76
1 518 52
1 520 52
1 521 14
1 522 68
1 524 13
1 525 99
1 529 33
1 533 46
1 534 47
1 535 12
1 538 41
1 540 15
1 544 93
1 545 33
1 546 23
1 547 2
1 551 9
1 552 78
1 557 52
1 558 3
1 559 57
1 560 84
1 563 13
1 564 43
1 566 72
1 568 44
1 569 54
1 571 80
1 574 48
1 575 53
1 576 37
1 578 18
1 579 35
1 581 58
1 582 35
1 586 37
1 587 93
1 588 46
1 590 28
1 592 92
1 594 48
1 595 13
1 597 29
1 599 67
1 600 91
1 601 2
1 602 71
1 603 2
1 607 44
1 608 52
1 609 28
1 610 60
1 614 30
1 615 71
1 617 28
1 618 20
1 621 78
1 623 8
1 625 54
1 627 1
1 628 42
1 631 18
1 634 23
1 635 37
1 640 35
1 642 32
1 643 48
1 644 25
1 646 23
1 647 19
1 652 56
1 653 6
1 655 85
1 657 85
1 659 25
1 660 6
1 662 57
1 663 46
1 665 5
1 667 5
1 668 52
1 670 98
1 674 1
1 681 1
1 682 9
1 684 25
1 685 18
1 687 12
1 688 76
1 689 56
1 690 97
1 691 2
1 692 44
1 693 65
1 694 89
1 695 19
1 698 3
1 699 33
1 700 89
1 705 3
1 706 76
1 710 29
1 714 64
1 719 18
1 721 64
1 723 67
1 724 84
1 725 54
1 726 24
1 727 58
1 730 38
1 733 91
1 736 28
1 738 11
1 739 5
1 741 58
1 746 37
1 747 96
1 748 45
1 749 65
1 750 50
1 752 21
1 753 23
1 754 77
1 755 30
1 756 76
1 759 16
1 761 30
1 762 28
1 765 78
1 769 47
1 771 3
1 773 64
1 774 59
1 775 61
1 776 8
1 779 79
1 780 47
1 782 29
1 783 71
1 784 54
1 785 65
1 790 29
1 792 61
1 797 73
1 799 55
1 802 6
1 805 84
1 806 41
1 807 25
1 809 53
1 812 35
1 814 22
1 815 75
1 816 45
1 817 55
1 819 42
1 822 54
1 824 38
1 825 17
1 827 47
1 829 8
1 830 71
1 834 69
1 835 67
1 837 91
1 838 21
1 839 94
1 841 21
1 842 30
1 847 91
1 849 11
1 851 57
1 852 30
1 853 67
1 855 19
1 856 2
1 858 3
1 859 73
1 861 20
1 868 71
1 869 83
1 874 9
1 878 3
1 879 66
1 880 58
1 881 62
1 886 27
1 887 76
1 891 24
1 892 61
1 894 31
1 895 67
1 899 66
1 901 15
1 902 22
1 903 27
1 910 18
1 911 17
1 916 26
1 917 19
1 920 27
1 929 3
1 930 5
1 931 98
1 934 56
1 936 14
1 937 60
1 940 93
1 942 43
1 943 41
1 944 8
1 948 48
1 949 9
1 951 58
1 953 32
1 954 40
1 957 62
1 958 84
1 960 42
1 962 13
1 963 83
1 965 22
1 969 15
1 971 39
1 972 53
1 974 25
1 976 86
1 977 65
1 978 33
1 980 47
1 983 60
1 987 45
1 988 26
1 989 12
1 990 30
1 991 28
1 993 51
1 998 22
1 999 79
