epoch: 0, loss: 0.1121, minimizing loss: 1.1449, maximizing loss: 1.2151
epoch: 1, loss: 0.1084, minimizing loss: 1.1067, maximizing loss: 1.1745
epoch: 2, loss: 0.0448, minimizing loss: 0.7050, maximizing loss: 0.7767
epoch: 3, loss: 0.0310, minimizing loss: 0.5825, maximizing loss: 0.6488
epoch: 4, loss: 0.0181, minimizing loss: 0.4934, maximizing loss: 0.5592
epoch: 5, loss: 0.0163, minimizing loss: 0.4782, maximizing loss: 0.5434
epoch: 6, loss: 0.0121, minimizing loss: 0.4531, maximizing loss: 0.5188
epoch: 7, loss: 0.0057, minimizing loss: 0.4244, maximizing loss: 0.4926
epoch: 8, loss: 0.0006, minimizing loss: 0.3895, maximizing loss: 0.4575
epoch: 9, loss: -0.0025, minimizing loss: 0.3623, maximizing loss: 0.4291
epoch: 10, loss: -0.0036, minimizing loss: 0.3518, maximizing loss: 0.4181
epoch: 11, loss: -0.0037, minimizing loss: 0.3453, maximizing loss: 0.4106
epoch: 12, loss: -0.0034, minimizing loss: 0.3368, maximizing loss: 0.4003
epoch: 13, loss: -0.0035, minimizing loss: 0.3335, maximizing loss: 0.3964
epoch: 14, loss: -0.0049, minimizing loss: 0.3266, maximizing loss: 0.3901
epoch: 15, loss: -0.0054, minimizing loss: 0.3224, maximizing loss: 0.3857
epoch: 16, loss: -0.0057, minimizing loss: 0.3208, maximizing loss: 0.3841
epoch: 17, loss: -0.0061, minimizing loss: 0.3130, maximizing loss: 0.3755
epoch: 18, loss: -0.0069, minimizing loss: 0.3081, maximizing loss: 0.3705
epoch: 19, loss: -0.0077, minimizing loss: 0.3043, maximizing loss: 0.3671
epoch: 20, loss: -0.0079, minimizing loss: 0.3072, maximizing loss: 0.3707
epoch: 21, loss: -0.0081, minimizing loss: 0.3038, maximizing loss: 0.3669
epoch: 22, loss: -0.0093, minimizing loss: 0.3049, maximizing loss: 0.3696
epoch: 23, loss: -0.0096, minimizing loss: 0.3007, maximizing loss: 0.3651
epoch: 24, loss: -0.0097, minimizing loss: 0.2941, maximizing loss: 0.3574
epoch: 25, loss: -0.0103, minimizing loss: 0.2924, maximizing loss: 0.3561
epoch: 26, loss: -0.0104, minimizing loss: 0.2898, maximizing loss: 0.3532
epoch: 27, loss: -0.0111, minimizing loss: 0.2874, maximizing loss: 0.3511
epoch: 28, loss: -0.0112, minimizing loss: 0.2840, maximizing loss: 0.3474
epoch: 29, loss: -0.0119, minimizing loss: 0.2840, maximizing loss: 0.3481
epoch: 30, loss: -0.0115, minimizing loss: 0.2837, maximizing loss: 0.3472
epoch: 31, loss: -0.0121, minimizing loss: 0.2802, maximizing loss: 0.3439
epoch: 32, loss: -0.0118, minimizing loss: 0.2810, maximizing loss: 0.3444
epoch: 33, loss: -0.0127, minimizing loss: 0.2754, maximizing loss: 0.3389
epoch: 34, loss: -0.0119, minimizing loss: 0.2776, maximizing loss: 0.3406
epoch: 35, loss: -0.0115, minimizing loss: 0.2775, maximizing loss: 0.3399
epoch: 36, loss: -0.0118, minimizing loss: 0.2734, maximizing loss: 0.3355
epoch: 37, loss: -0.0124, minimizing loss: 0.2745, maximizing loss: 0.3375
epoch: 38, loss: -0.0119, minimizing loss: 0.2779, maximizing loss: 0.3410
epoch: 39, loss: -0.0120, minimizing loss: 0.2782, maximizing loss: 0.3414
epoch: 40, loss: -0.0119, minimizing loss: 0.2785, maximizing loss: 0.3417
epoch: 41, loss: -0.0133, minimizing loss: 0.2745, maximizing loss: 0.3386
epoch: 42, loss: -0.0129, minimizing loss: 0.2749, maximizing loss: 0.3386
epoch: 43, loss: -0.0126, minimizing loss: 0.2714, maximizing loss: 0.3341
epoch: 44, loss: -0.0129, minimizing loss: 0.2760, maximizing loss: 0.3400
epoch: 45, loss: -0.0136, minimizing loss: 0.2744, maximizing loss: 0.3388
epoch: 46, loss: -0.0133, minimizing loss: 0.2717, maximizing loss: 0.3353
epoch: 47, loss: -0.0130, minimizing loss: 0.2745, maximizing loss: 0.3382
epoch: 48, loss: -0.0139, minimizing loss: 0.2716, maximizing loss: 0.3358
epoch: 49, loss: -0.0136, minimizing loss: 0.2721, maximizing loss: 0.3362
epoch: 50, loss: -0.0144, minimizing loss: 0.2692, maximizing loss: 0.3336
epoch: 51, loss: -0.0143, minimizing loss: 0.2730, maximizing loss: 0.3380
epoch: 52, loss: -0.0143, minimizing loss: 0.2733, maximizing loss: 0.3383
epoch: 53, loss: -0.0148, minimizing loss: 0.2683, maximizing loss: 0.3330
epoch: 54, loss: -0.0154, minimizing loss: 0.2700, maximizing loss: 0.3358
epoch: 55, loss: -0.0149, minimizing loss: 0.2687, maximizing loss: 0.3336
epoch: 56, loss: -0.0152, minimizing loss: 0.2681, maximizing loss: 0.3332
