Epoch: 0, train ls: 0.421782053510348, eval ls: 0.37933170795440674
Epoch: 1, train ls: 0.37814223965009053, eval ls: 0.3785139302412669
Epoch: 2, train ls: 0.3792021413644155, eval ls: 0.37829482356707256
Epoch: 3, train ls: 0.37785022556781767, eval ls: 0.37827822963396707
Epoch: 4, train ls: 0.3778471579154333, eval ls: 0.37819419900576273
Epoch: 5, train ls: 0.3778779894113541, eval ls: 0.3780834138393402
Epoch: 6, train ls: 0.3771593858798345, eval ls: 0.3780733068784078
Epoch: 7, train ls: 0.37701204816500344, eval ls: 0.37797553340593976
Epoch: 8, train ls: 0.3771609991788864, eval ls: 0.3779755016167959
Epoch: 9, train ls: 0.37694004277388254, eval ls: 0.37793009678522743
Epoch: 10, train ls: 0.37803505261739095, eval ls: 0.37791711688041685
Epoch: 11, train ls: 0.37675486207008363, eval ls: 0.37791013916333516
Epoch: 12, train ls: 0.37634216447671254, eval ls: 0.37788746555646263
Epoch: 13, train ls: 0.3770373731851578, eval ls: 0.3778510828812917
Epoch: 14, train ls: 0.3775171349445979, eval ls: 0.3777938723564148
Epoch: 15, train ls: 0.37709128657976787, eval ls: 0.37770211696624756
Epoch: 16, train ls: 0.3758289406696955, eval ls: 0.3776169061660767
Epoch: 17, train ls: 0.377522541085879, eval ls: 0.37761690417925514
Epoch: 18, train ls: 0.37720432778199514, eval ls: 0.3776084820429484
Epoch: 19, train ls: 0.37722545862197876, eval ls: 0.3775507628917694
Epoch: 20, train ls: 0.3766593635082245, eval ls: 0.3775507648785909
Epoch: 21, train ls: 0.37713728348414105, eval ls: 0.3775433639685313
Epoch: 22, train ls: 0.3773704091707865, eval ls: 0.3774878184000651
Epoch: 23, train ls: 0.37632547815640766, eval ls: 0.3774803360303243
Epoch: 24, train ls: 0.37566131850083667, eval ls: 0.377451761563619
Epoch: 25, train ls: 0.3765554149945577, eval ls: 0.3774517695109049
Epoch: 26, train ls: 0.37628011306126913, eval ls: 0.37745177149772646
Epoch: 27, train ls: 0.3764418254295985, eval ls: 0.3774517695109049
Epoch: 28, train ls: 0.3765791078408559, eval ls: 0.377451761563619
Epoch: 29, train ls: 0.37595658699671425, eval ls: 0.37745176553726195
Epoch: 30, train ls: 0.3766041805346807, eval ls: 0.3774516761302948
Epoch: 31, train ls: 0.3763477742671967, eval ls: 0.3773831486701965
Epoch: 32, train ls: 0.3770069340864817, eval ls: 0.3773831486701965
Epoch: 33, train ls: 0.3765514403581619, eval ls: 0.37738314270973206
Epoch: 34, train ls: 0.3765466183423996, eval ls: 0.3773715913295746
Epoch: 35, train ls: 0.37560686965783435, eval ls: 0.3773565053939819
Epoch: 36, train ls: 0.37650038599967955, eval ls: 0.37734152873357135
Epoch: 37, train ls: 0.37514709134896596, eval ls: 0.37734153072039284
Epoch: 38, train ls: 0.37694530884424843, eval ls: 0.3773415247599284
Epoch: 39, train ls: 0.37696695725123086, eval ls: 0.3773335456848145
Epoch: 40, train ls: 0.37617298563321433, eval ls: 0.3773184657096863
Epoch: 41, train ls: 0.37716808915138245, eval ls: 0.3773184577624003
Epoch: 42, train ls: 0.37595134576161704, eval ls: 0.37730637987454735
Epoch: 43, train ls: 0.37615106999874115, eval ls: 0.37730638186136883
Epoch: 44, train ls: 0.375924876332283, eval ls: 0.3772977987925212
Epoch: 45, train ls: 0.37801754772663115, eval ls: 0.3772901733716329
Epoch: 46, train ls: 0.3753975659608841, eval ls: 0.3772818525632223
Epoch: 47, train ls: 0.3761461178461711, eval ls: 0.3772818227608999
Epoch: 48, train ls: 0.3761434078216553, eval ls: 0.37726693352063495
Epoch: 49, train ls: 0.3772740135590235, eval ls: 0.3772668123245239
Epoch: 50, train ls: 0.3766158014535904, eval ls: 0.3772578994433085
Epoch: 51, train ls: 0.37677306731541954, eval ls: 0.37724282741546633
Epoch: 52, train ls: 0.3773394624392192, eval ls: 0.3772428214550018
Epoch: 53, train ls: 0.37637897332509357, eval ls: 0.3772428234418233
Epoch: 54, train ls: 0.37607042690118153, eval ls: 0.3772290547688802
Epoch: 55, train ls: 0.3759847233692805, eval ls: 0.3772290607293447
Epoch: 56, train ls: 0.37599283655484517, eval ls: 0.37722145915031435
Epoch: 57, train ls: 0.37631450792153676, eval ls: 0.37722146113713584
Epoch: 58, train ls: 0.3774322698513667, eval ls: 0.37722145318984984
Epoch: 59, train ls: 0.3767975966135661, eval ls: 0.3772136330604553
Epoch: 60, train ls: 0.376899125178655, eval ls: 0.3771510601043701
Epoch: 61, train ls: 0.37704029281934104, eval ls: 0.37715105414390565
Epoch: 62, train ls: 0.3757946938276291, eval ls: 0.37715104619661965
Epoch: 63, train ls: 0.3761283169190089, eval ls: 0.3771010975042979
Epoch: 64, train ls: 0.37788096169630686, eval ls: 0.3771010935306549
Epoch: 65, train ls: 0.37668317059675854, eval ls: 0.3771010975042979
Epoch: 66, train ls: 0.3771531949440638, eval ls: 0.3771010935306549
Epoch: 67, train ls: 0.3761592288812002, eval ls: 0.3771010935306549
Epoch: 68, train ls: 0.37627480228741966, eval ls: 0.37708847324053446
