Epoch: 0, train ls: 0.04058242316047351, eval ls: 0.037649949888388316
Epoch: 1, train ls: 0.03508022539317608, eval ls: 0.033946640541156134
Epoch: 2, train ls: 0.03268394519885381, eval ls: 0.03132041469216347
Epoch: 3, train ls: 0.029788051669796308, eval ls: 0.03019139145811399
Epoch: 4, train ls: 0.02811090840647618, eval ls: 0.02988809992869695
Epoch: 5, train ls: 0.027579109060267608, eval ls: 0.02913962540527185
Epoch: 6, train ls: 0.026285380000869434, eval ls: 0.028709213808178903
Epoch: 7, train ls: 0.025850261251131695, eval ls: 0.028045313681165376
Epoch: 8, train ls: 0.025455276916424432, eval ls: 0.02779290502270063
Epoch: 9, train ls: 0.024461918448408445, eval ls: 0.027731267487009367
Epoch: 10, train ls: 0.02450671127686898, eval ls: 0.02752521646519502
Epoch: 11, train ls: 0.023631872609257698, eval ls: 0.027366990223526955
Epoch: 12, train ls: 0.023004297291239102, eval ls: 0.02757993812362353
Epoch: 13, train ls: 0.023245429868499437, eval ls: 0.027216607704758644
Epoch: 14, train ls: 0.023187591570119064, eval ls: 0.02725535767773787
Epoch: 15, train ls: 0.02264107291897138, eval ls: 0.0274206447104613
Epoch: 16, train ls: 0.02212765980511904, eval ls: 0.02693340467909972
Epoch: 17, train ls: 0.02238242489596208, eval ls: 0.026980704193313918
Epoch: 18, train ls: 0.02193606588989496, eval ls: 0.02698560543358326
Epoch: 19, train ls: 0.021545805347462494, eval ls: 0.02699773448208968
Epoch: 20, train ls: 0.021074130075673263, eval ls: 0.027139807616670928
Epoch: 21, train ls: 0.02102216991285483, eval ls: 0.027110115562876066
Epoch: 22, train ls: 0.021017970951894917, eval ls: 0.026863792166113853
Epoch: 23, train ls: 0.020551245659589767, eval ls: 0.026983460411429405
Epoch: 24, train ls: 0.01982972901314497, eval ls: 0.027040682112177212
Epoch: 25, train ls: 0.020536587201058866, eval ls: 0.02696804888546467
Epoch: 26, train ls: 0.019928562889496484, eval ls: 0.026970497767130532
Epoch: 27, train ls: 0.01991790390263001, eval ls: 0.02704364644984404
Epoch: 28, train ls: 0.019663132168352603, eval ls: 0.02699010893702507
Epoch: 29, train ls: 0.01937521869937579, eval ls: 0.027135189001758892
Epoch: 30, train ls: 0.019362190552055836, eval ls: 0.026963143423199654
Epoch: 31, train ls: 0.018821697930494943, eval ls: 0.026951831206679343
Epoch: 32, train ls: 0.018969311254719894, eval ls: 0.026785966878136
Epoch: 33, train ls: 0.018473509947458902, eval ls: 0.026762344564000767
Epoch: 34, train ls: 0.018900976267953715, eval ls: 0.02649433712164561
Epoch: 35, train ls: 0.01805905494838953, eval ls: 0.02675960473716259
Epoch: 36, train ls: 0.01825988922889034, eval ls: 0.026878598084052404
Epoch: 37, train ls: 0.0176183114759624, eval ls: 0.027010646959145863
Epoch: 38, train ls: 0.018196161060283583, eval ls: 0.026679771269361177
Epoch: 39, train ls: 0.017908294623096784, eval ls: 0.026943666860461235
Epoch: 40, train ls: 0.017719699504474797, eval ls: 0.026657484968503318
Epoch: 41, train ls: 0.01786068460593621, eval ls: 0.026635023454825085
Epoch: 42, train ls: 0.01734016460056106, eval ls: 0.02660398595035076
Epoch: 43, train ls: 0.016861916333436967, eval ls: 0.02669955094655355
Epoch: 44, train ls: 0.016804253620405992, eval ls: 0.026731003200014432
Epoch: 45, train ls: 0.017477868807812533, eval ls: 0.02665617341796557
Epoch: 46, train ls: 0.016036176681518556, eval ls: 0.026621051132678986
Epoch: 47, train ls: 0.01668009109174212, eval ls: 0.026673364515105883
Epoch: 48, train ls: 0.016377562781174977, eval ls: 0.026740169152617455
Epoch: 49, train ls: 0.016614359927674134, eval ls: 0.026703295360008875
Epoch: 50, train ls: 0.01643318332110842, eval ls: 0.026601981744170188
Epoch: 51, train ls: 0.016049499064683913, eval ls: 0.026424207041660944
Epoch: 52, train ls: 0.016255359227458636, eval ls: 0.026622654621799788
Epoch: 53, train ls: 0.015858963038772343, eval ls: 0.02664340424040953
Epoch: 54, train ls: 0.015945540461689233, eval ls: 0.026587247600158057
Epoch: 55, train ls: 0.01579435436675946, eval ls: 0.02662330356736978
Epoch: 56, train ls: 0.015544862144937117, eval ls: 0.026595534260074296
Epoch: 57, train ls: 0.015221866158147654, eval ls: 0.026684814070661863
Epoch: 58, train ls: 0.015414556736747425, eval ls: 0.026689522713422776
Epoch: 59, train ls: 0.015447555482387543, eval ls: 0.026479146629571914
Epoch: 60, train ls: 0.01524622185776631, eval ls: 0.026538079356153807
