Epoch: 0, train ls: 0.39955749611059826, eval ls: 0.37839142183462776
Epoch: 1, train ls: 0.37803009152412415, eval ls: 0.37807416915893555
Epoch: 2, train ls: 0.37969758609930676, eval ls: 0.37792701423168185
Epoch: 3, train ls: 0.377549214164416, eval ls: 0.3778988093137741
Epoch: 4, train ls: 0.37757964730262755, eval ls: 0.3777164608240128
Epoch: 5, train ls: 0.3778026416897774, eval ls: 0.37765178382396697
Epoch: 6, train ls: 0.3774253929654757, eval ls: 0.3776389002799988
Epoch: 7, train ls: 0.37678718169530234, eval ls: 0.37758917212486265
Epoch: 8, train ls: 0.37859011540810267, eval ls: 0.3775740931431452
Epoch: 9, train ls: 0.376157816251119, eval ls: 0.3775590032339096
Epoch: 10, train ls: 0.37757538706064225, eval ls: 0.3775518039862315
Epoch: 11, train ls: 0.37681356370449065, eval ls: 0.37749010125796
Epoch: 12, train ls: 0.3760215014219284, eval ls: 0.3774647424618403
Epoch: 13, train ls: 0.37668514599402747, eval ls: 0.3774365504582723
Epoch: 14, train ls: 0.37818329681952795, eval ls: 0.37736087838808696
Epoch: 15, train ls: 0.3762790436546008, eval ls: 0.3773395886023839
Epoch: 16, train ls: 0.3760593960682551, eval ls: 0.37727319697539013
Epoch: 17, train ls: 0.3772745554645856, eval ls: 0.3772476484378179
Epoch: 18, train ls: 0.3767536625266075, eval ls: 0.37724764347076417
Epoch: 19, train ls: 0.37733406871557235, eval ls: 0.37724764545758566
Epoch: 20, train ls: 0.37545649458964664, eval ls: 0.3772398829460144
Epoch: 21, train ls: 0.3764287749926249, eval ls: 0.3772398759921392
Epoch: 22, train ls: 0.3771294757723808, eval ls: 0.3772177000840505
Epoch: 23, train ls: 0.37515183885892234, eval ls: 0.3772177000840505
Epoch: 24, train ls: 0.3750932544469833, eval ls: 0.3771943350632985
Epoch: 25, train ls: 0.37601470450560254, eval ls: 0.37718432346979774
Epoch: 26, train ls: 0.3768717254201571, eval ls: 0.37718432148297626
Epoch: 27, train ls: 0.3764091188708941, eval ls: 0.3771544426679611
Epoch: 28, train ls: 0.3759535779555639, eval ls: 0.37713901499907176
Epoch: 29, train ls: 0.3745054731766383, eval ls: 0.3771312673886617
Epoch: 30, train ls: 0.3758126353224119, eval ls: 0.377131262421608
Epoch: 31, train ls: 0.3751060162981351, eval ls: 0.37713126043478645
Epoch: 32, train ls: 0.37687690556049347, eval ls: 0.3771218101183573
Epoch: 33, train ls: 0.37538646956284843, eval ls: 0.3771218121051788
Epoch: 34, train ls: 0.37593131363391874, eval ls: 0.3771218071381251
Epoch: 35, train ls: 0.3756057798862457, eval ls: 0.3770637651284536
Epoch: 36, train ls: 0.3766219253341357, eval ls: 0.3770637591679891
Epoch: 37, train ls: 0.3749165798226992, eval ls: 0.37701461215813953
Epoch: 38, train ls: 0.3761080930630366, eval ls: 0.3770002434651057
Epoch: 39, train ls: 0.37618269175291064, eval ls: 0.3770002434651057
Epoch: 40, train ls: 0.3759340956807137, eval ls: 0.37688319981098173
Epoch: 41, train ls: 0.376702111462752, eval ls: 0.3768831968307495
Epoch: 42, train ls: 0.37652601550022763, eval ls: 0.37687251965204877
Epoch: 43, train ls: 0.37626200417677563, eval ls: 0.3768502374490102
Epoch: 44, train ls: 0.37440957327683766, eval ls: 0.37678216596444447
Epoch: 45, train ls: 0.3772154817978541, eval ls: 0.3767740339040756
Epoch: 46, train ls: 0.37439222931861876, eval ls: 0.37675894697507223
Epoch: 47, train ls: 0.376103176176548, eval ls: 0.37674646973609927
Epoch: 48, train ls: 0.3758164122700691, eval ls: 0.3767365763584773
Epoch: 49, train ls: 0.3753728022178014, eval ls: 0.3767365763584773
Epoch: 50, train ls: 0.37634187241395317, eval ls: 0.37673657536506655
Epoch: 51, train ls: 0.3766085907816887, eval ls: 0.3767365713914235
Epoch: 52, train ls: 0.3786056409279505, eval ls: 0.3766785701115926
Epoch: 53, train ls: 0.3762185121575991, eval ls: 0.3766785701115926
Epoch: 54, train ls: 0.3756366486350695, eval ls: 0.37667071421941123
Epoch: 55, train ls: 0.37606739650170007, eval ls: 0.37667071719964346
Epoch: 56, train ls: 0.3762122347950935, eval ls: 0.37667071918646494
Epoch: 57, train ls: 0.3768217146396637, eval ls: 0.3766707102457682
Epoch: 58, train ls: 0.3778925329446793, eval ls: 0.37666276295979817
Epoch: 59, train ls: 0.37721041291952134, eval ls: 0.37666276295979817
Epoch: 60, train ls: 0.3759114846587181, eval ls: 0.3765983204046885
Epoch: 61, train ls: 0.3768610085050265, eval ls: 0.376598318417867
Epoch: 62, train ls: 0.3754284501075745, eval ls: 0.37659831941127775
Epoch: 63, train ls: 0.37486125926176705, eval ls: 0.3765983213980993
Epoch: 64, train ls: 0.3784971962372462, eval ls: 0.3765983204046885
Epoch: 65, train ls: 0.3764899060130119, eval ls: 0.37659832239151003
Epoch: 66, train ls: 0.376818972826004, eval ls: 0.3765983233849208
Epoch: 67, train ls: 0.3759016265471776, eval ls: 0.3765983114639918
Epoch: 68, train ls: 0.37593435843785605, eval ls: 0.37656523784001666
Epoch: 69, train ls: 0.37639685372511544, eval ls: 0.37656523485978444
Epoch: 70, train ls: 0.3757804686824481, eval ls: 0.37656523287296295
Epoch: 71, train ls: 0.3749277030428251, eval ls: 0.37656523287296295
Epoch: 72, train ls: 0.37718789229790367, eval ls: 0.3765652298927307
Epoch: 73, train ls: 0.3760395790139834, eval ls: 0.3765652269124985
Epoch: 74, train ls: 0.375914940237999, eval ls: 0.37656522790590924
Epoch: 75, train ls: 0.3765453447898229, eval ls: 0.37654591500759127
Epoch: 76, train ls: 0.37622203727563225, eval ls: 0.37654591699441275
Epoch: 77, train ls: 0.37655766954024633, eval ls: 0.3765459179878235
Epoch: 78, train ls: 0.37603209912776947, eval ls: 0.37654591302076973
Epoch: 79, train ls: 0.3765815218289693, eval ls: 0.376545916001002
Epoch: 80, train ls: 0.3752864792943001, eval ls: 0.376545916001002
Epoch: 81, train ls: 0.37544125020504, eval ls: 0.3765325794617335
Epoch: 82, train ls: 0.3760522842407227, eval ls: 0.3765325784683228
Epoch: 83, train ls: 0.37631982266902925, eval ls: 0.3765325784683228
Epoch: 84, train ls: 0.3756507938106855, eval ls: 0.37645848393440245
Epoch: 85, train ls: 0.3758788789312045, eval ls: 0.37645848194758097
Epoch: 86, train ls: 0.3765574524799983, eval ls: 0.37644000152746837
Epoch: 87, train ls: 0.37441133956114453, eval ls: 0.37643999556700386
Epoch: 88, train ls: 0.3755781297882398, eval ls: 0.37643160025278727
Epoch: 89, train ls: 0.37627529054880143, eval ls: 0.3764316032330195
Epoch: 90, train ls: 0.3765824198722839, eval ls: 0.376431601246198
Epoch: 91, train ls: 0.37699204981327056, eval ls: 0.37643159528573356
Epoch: 92, train ls: 0.37501906156539916, eval ls: 0.376431601246198
Epoch: 93, train ls: 0.3765150512258212, eval ls: 0.37643160223960875
Epoch: 94, train ls: 0.37587125996748605, eval ls: 0.3764315982659658
Epoch: 95, train ls: 0.376737413307031, eval ls: 0.3764315982659658
Epoch: 96, train ls: 0.3757844363649686, eval ls: 0.37643160025278727
Epoch: 97, train ls: 0.37661658724149066, eval ls: 0.37643160223960875
Epoch: 98, train ls: 0.37583431651194893, eval ls: 0.37641759514808654
Epoch: 99, train ls: 0.3760744919379552, eval ls: 0.3764175961414973
