Epoch: 0, train ls: 0.3797722448905309, eval ls: 0.3697813858588537
Epoch: 1, train ls: 0.36750295211871464, eval ls: 0.3697806457678477
Epoch: 2, train ls: 0.36874038676420845, eval ls: 0.3697802543640137
Epoch: 3, train ls: 0.3693000425895055, eval ls: 0.36978000998497007
Epoch: 4, train ls: 0.36913198481003445, eval ls: 0.36977985004583996
Epoch: 5, train ls: 0.3706175059080124, eval ls: 0.36977972884972893
Epoch: 6, train ls: 0.3674942841132482, eval ls: 0.3697796404361725
Epoch: 7, train ls: 0.3688896417617798, eval ls: 0.369779559969902
Epoch: 8, train ls: 0.36836198369661965, eval ls: 0.3697794993718465
Epoch: 9, train ls: 0.36966184377670286, eval ls: 0.36977945268154144
Epoch: 10, train ls: 0.368208850423495, eval ls: 0.36977941195170083
Epoch: 11, train ls: 0.3690895070632299, eval ls: 0.36977938016255696
Epoch: 12, train ls: 0.36881932318210603, eval ls: 0.3697793533404668
Epoch: 13, train ls: 0.3711463118592898, eval ls: 0.36977931757767996
Epoch: 14, train ls: 0.37034246474504473, eval ls: 0.36977928976217905
Epoch: 15, train ls: 0.36884734431902566, eval ls: 0.36977927883466083
Epoch: 16, train ls: 0.37176905771096547, eval ls: 0.3697792559862137
Epoch: 17, train ls: 0.36862764209508897, eval ls: 0.36977924704551696
Epoch: 18, train ls: 0.3692920510967573, eval ls: 0.36977922221024834
Epoch: 19, train ls: 0.36952626158793767, eval ls: 0.36977920929590863
Epoch: 20, train ls: 0.36869172304868697, eval ls: 0.36977919439474743
Epoch: 21, train ls: 0.368478665749232, eval ls: 0.3697791814804077
Epoch: 22, train ls: 0.3699438194433848, eval ls: 0.3697791705528895
Epoch: 23, train ls: 0.3717077354590098, eval ls: 0.36977916161219276
Epoch: 24, train ls: 0.3694970294833183, eval ls: 0.3697791536649068
Epoch: 25, train ls: 0.36896875947713853, eval ls: 0.36977913876374563
Epoch: 26, train ls: 0.3703381304939588, eval ls: 0.36977913479010266
Epoch: 27, train ls: 0.3683230936527252, eval ls: 0.3697791278362274
Epoch: 28, train ls: 0.36840281933546065, eval ls: 0.36977911790212
Epoch: 29, train ls: 0.3693284600973129, eval ls: 0.3697791079680125
Epoch: 30, train ls: 0.3702486947178841, eval ls: 0.36977910101413725
Epoch: 31, train ls: 0.36939276854197184, eval ls: 0.369779098033905
Epoch: 32, train ls: 0.36960627883672714, eval ls: 0.36977909207344056
Epoch: 33, train ls: 0.37018022388219834, eval ls: 0.3697790851195653
Epoch: 34, train ls: 0.3693383311231931, eval ls: 0.36977907717227937
Epoch: 35, train ls: 0.3703025907278061, eval ls: 0.36977907419204714
Epoch: 36, train ls: 0.3682661165793737, eval ls: 0.3697790702184041
Epoch: 37, train ls: 0.36934084743261336, eval ls: 0.3697790632645289
Epoch: 38, train ls: 0.3694055775801341, eval ls: 0.36977905929088595
Epoch: 39, train ls: 0.37033963700135547, eval ls: 0.3697790543238322
Epoch: 40, train ls: 0.3675268744428953, eval ls: 0.36977904935677847
Epoch: 41, train ls: 0.3685905103882154, eval ls: 0.3697790503501892
Epoch: 42, train ls: 0.37047227124373117, eval ls: 0.3697790374358495
Epoch: 43, train ls: 0.3707891176144282, eval ls: 0.369779043396314
