Epoch: 0, train ls: 0.3831727554400762, eval ls: 0.3697788655757904
Epoch: 1, train ls: 0.36842157592376074, eval ls: 0.3697788645823797
Epoch: 2, train ls: 0.369244185090065, eval ls: 0.36977886855602266
Epoch: 3, train ls: 0.37027986298004784, eval ls: 0.3697788635889689
Epoch: 4, train ls: 0.36764357835054395, eval ls: 0.36977887054284414
Epoch: 5, train ls: 0.3682495603958766, eval ls: 0.3697788635889689
Epoch: 6, train ls: 0.3698589300115903, eval ls: 0.3697788675626119
Epoch: 7, train ls: 0.37170925438404084, eval ls: 0.3697788645823797
Epoch: 8, train ls: 0.36934100836515427, eval ls: 0.36977886656920117
Epoch: 9, train ls: 0.36998322755098345, eval ls: 0.36977886060873666
Epoch: 10, train ls: 0.36984509229660034, eval ls: 0.36977886656920117
Epoch: 11, train ls: 0.36883186201254525, eval ls: 0.36977886855602266
Epoch: 12, train ls: 0.36767081369956334, eval ls: 0.3697788645823797
Epoch: 13, train ls: 0.3696022406220436, eval ls: 0.3697788675626119
Epoch: 14, train ls: 0.3701876843969027, eval ls: 0.36977886656920117
Epoch: 15, train ls: 0.369873786966006, eval ls: 0.3697788645823797
Epoch: 16, train ls: 0.36826233317454654, eval ls: 0.3697788655757904
Epoch: 17, train ls: 0.37007876684268315, eval ls: 0.3697788635889689
Epoch: 18, train ls: 0.36917266845703123, eval ls: 0.3697788655757904
Epoch: 19, train ls: 0.37032094250122705, eval ls: 0.3697788655757904
Epoch: 20, train ls: 0.3686347911755244, eval ls: 0.3697788635889689
Epoch: 21, train ls: 0.3694586137930552, eval ls: 0.36977886060873666
Epoch: 22, train ls: 0.36923378457625705, eval ls: 0.3697788645823797
Epoch: 23, train ls: 0.36971284995476406, eval ls: 0.3697788695494334
Epoch: 24, train ls: 0.3691616917649905, eval ls: 0.36977886656920117
Epoch: 25, train ls: 0.36962479452292124, eval ls: 0.3697788645823797
Epoch: 26, train ls: 0.3681787644823392, eval ls: 0.36977886855602266
Epoch: 27, train ls: 0.37135020196437835, eval ls: 0.36977886259555814
Epoch: 28, train ls: 0.3706865906715393, eval ls: 0.3697788655757904
Epoch: 29, train ls: 0.3679463729262352, eval ls: 0.3697788655757904
Epoch: 30, train ls: 0.36868793070316314, eval ls: 0.3697788616021474
Epoch: 31, train ls: 0.3671919176975886, eval ls: 0.3697788655757904
Epoch: 32, train ls: 0.3696808328231176, eval ls: 0.3697788655757904
Epoch: 33, train ls: 0.3699537028868993, eval ls: 0.3697788635889689
Epoch: 34, train ls: 0.3687491660316785, eval ls: 0.3697788695494334
Epoch: 35, train ls: 0.36922797560691833, eval ls: 0.3697788635889689
Epoch: 36, train ls: 0.36794703354438146, eval ls: 0.3697788655757904
Epoch: 37, train ls: 0.3698655337095261, eval ls: 0.3697788695494334
Epoch: 38, train ls: 0.36951331943273547, eval ls: 0.3697788675626119
Epoch: 39, train ls: 0.3685228690505028, eval ls: 0.36977886855602266
Epoch: 40, train ls: 0.3678666676084201, eval ls: 0.3697788655757904
Epoch: 41, train ls: 0.37000257074832915, eval ls: 0.36977886656920117
Epoch: 42, train ls: 0.3675691882769267, eval ls: 0.3697788645823797
Epoch: 43, train ls: 0.36907443354527153, eval ls: 0.36977886855602266
Epoch: 44, train ls: 0.3701968808968862, eval ls: 0.3697788635889689
Epoch: 45, train ls: 0.36845623403787614, eval ls: 0.3697788645823797
Epoch: 46, train ls: 0.3688527857263883, eval ls: 0.3697788675626119
Epoch: 47, train ls: 0.3689818615714709, eval ls: 0.3697788635889689
Epoch: 48, train ls: 0.3687587415178617, eval ls: 0.3697788655757904
Epoch: 49, train ls: 0.3684688866138458, eval ls: 0.3697788715362549
Epoch: 50, train ls: 0.36960220634937285, eval ls: 0.3697788645823797
Epoch: 51, train ls: 0.3693499063452085, eval ls: 0.36977886855602266
Epoch: 52, train ls: 0.3696186756094297, eval ls: 0.36977886656920117
Epoch: 53, train ls: 0.36912742753823596, eval ls: 0.3697788715362549
Epoch: 54, train ls: 0.3696014016866684, eval ls: 0.3697788675626119
Epoch: 55, train ls: 0.36882423410813014, eval ls: 0.3697788655757904
Epoch: 56, train ls: 0.37075692464907967, eval ls: 0.36977886656920117
Epoch: 57, train ls: 0.369117878874143, eval ls: 0.3697788725296656
Epoch: 58, train ls: 0.3693443159262339, eval ls: 0.36977886060873666
Epoch: 59, train ls: 0.369077043235302, eval ls: 0.3697788616021474
Epoch: 60, train ls: 0.3679562752445539, eval ls: 0.3697788635889689
Epoch: 61, train ls: 0.37037722369035087, eval ls: 0.3697788616021474
Epoch: 62, train ls: 0.37120484511057533, eval ls: 0.36977886060873666
Epoch: 63, train ls: 0.36870551655689876, eval ls: 0.36977886656920117
Epoch: 64, train ls: 0.36953514417012534, eval ls: 0.36977886259555814
Epoch: 65, train ls: 0.36975363045930865, eval ls: 0.3697788635889689
Epoch: 66, train ls: 0.3682481775681178, eval ls: 0.3697788635889689
Epoch: 67, train ls: 0.3691043560703596, eval ls: 0.3697788645823797
Epoch: 68, train ls: 0.368914362291495, eval ls: 0.3697788645823797
Epoch: 69, train ls: 0.37072324256102246, eval ls: 0.3697788635889689
Epoch: 70, train ls: 0.3713004599014918, eval ls: 0.3697788675626119
Epoch: 71, train ls: 0.3710951949159304, eval ls: 0.3697788675626119
Epoch: 72, train ls: 0.367514265080293, eval ls: 0.36977886656920117
Epoch: 73, train ls: 0.36896337817112607, eval ls: 0.3697788635889689
Epoch: 74, train ls: 0.36888248324394224, eval ls: 0.3697788695494334
Epoch: 75, train ls: 0.3694884310166041, eval ls: 0.3697788675626119
Epoch: 76, train ls: 0.3689963102340698, eval ls: 0.3697788655757904
Epoch: 77, train ls: 0.37000690201918285, eval ls: 0.3697788695494334
Epoch: 78, train ls: 0.36943606436252596, eval ls: 0.36977886656920117
Epoch: 79, train ls: 0.36917490512132645, eval ls: 0.3697788645823797
Epoch: 80, train ls: 0.3713123808304469, eval ls: 0.3697788645823797
Epoch: 81, train ls: 0.3695056115587552, eval ls: 0.3697788675626119
Epoch: 82, train ls: 0.36899586816628777, eval ls: 0.3697788655757904
Epoch: 83, train ls: 0.3690008516112963, eval ls: 0.3697788645823797
Epoch: 84, train ls: 0.3719051460425059, eval ls: 0.3697788645823797
Epoch: 85, train ls: 0.36767355650663375, eval ls: 0.36977886259555814
Epoch: 86, train ls: 0.3702061335245768, eval ls: 0.36977886656920117
Epoch: 87, train ls: 0.3703916142384211, eval ls: 0.3697788695494334
Epoch: 88, train ls: 0.36974188486735027, eval ls: 0.3697788616021474
Epoch: 89, train ls: 0.3678697263201078, eval ls: 0.36977886855602266
Epoch: 90, train ls: 0.37011020084222157, eval ls: 0.3697788715362549
Epoch: 91, train ls: 0.3689877609411875, eval ls: 0.3697788655757904
Epoch: 92, train ls: 0.37034189303716025, eval ls: 0.3697788675626119
Epoch: 93, train ls: 0.36924823323885597, eval ls: 0.3697788616021474
Epoch: 94, train ls: 0.36837559640407563, eval ls: 0.3697788725296656
Epoch: 95, train ls: 0.37020501246054965, eval ls: 0.36977886656920117
