Epoch: 0, train ls: 0.038531649857759476, eval ls: 0.03796410659948985
Epoch: 1, train ls: 0.03749219452341398, eval ls: 0.037924468020598096
Epoch: 2, train ls: 0.038586910193165146, eval ls: 0.03792221968372663
Epoch: 3, train ls: 0.03759306656817595, eval ls: 0.037163367867469786
Epoch: 4, train ls: 0.036071223020553586, eval ls: 0.035245276242494586
Epoch: 5, train ls: 0.035017218068242074, eval ls: 0.034881113469600676
Epoch: 6, train ls: 0.03377561109761397, eval ls: 0.03454662909110387
Epoch: 7, train ls: 0.03290238666037718, eval ls: 0.03434180393815041
Epoch: 8, train ls: 0.0322588591525952, eval ls: 0.03384746213754018
Epoch: 9, train ls: 0.03170019915948311, eval ls: 0.03369866758584976
Epoch: 10, train ls: 0.03141117778917154, eval ls: 0.03357538282871246
Epoch: 11, train ls: 0.03053200722982486, eval ls: 0.03309758777419726
Epoch: 12, train ls: 0.030138084106147288, eval ls: 0.03304972474773725
Epoch: 13, train ls: 0.03029617170492808, eval ls: 0.03257408489783605
Epoch: 14, train ls: 0.030267874213556447, eval ls: 0.032664993902047475
Epoch: 15, train ls: 0.029843483368555704, eval ls: 0.03240781004230182
Epoch: 16, train ls: 0.029247300575176875, eval ls: 0.032138995826244354
Epoch: 17, train ls: 0.030290615061918894, eval ls: 0.03211675882339478
Epoch: 18, train ls: 0.029439589567482473, eval ls: 0.03175008073449135
Epoch: 19, train ls: 0.029678971817096073, eval ls: 0.03130554345746835
Epoch: 20, train ls: 0.028896408962706725, eval ls: 0.030875807255506517
Epoch: 21, train ls: 0.029037237664063773, eval ls: 0.03081835135817528
Epoch: 22, train ls: 0.029083296718696753, eval ls: 0.030645988384882607
Epoch: 23, train ls: 0.02843410149216652, eval ls: 0.030539521326621372
Epoch: 24, train ls: 0.027689476497471333, eval ls: 0.030483514815568925
Epoch: 25, train ls: 0.028668103118737537, eval ls: 0.030217576523621878
Epoch: 26, train ls: 0.02824211853245894, eval ls: 0.030054215838511786
Epoch: 27, train ls: 0.028303918180366358, eval ls: 0.030054209753870964
Epoch: 28, train ls: 0.027959616482257844, eval ls: 0.02997033471862475
Epoch: 29, train ls: 0.027620390057563782, eval ls: 0.02987840014199416
Epoch: 30, train ls: 0.02811821233481169, eval ls: 0.03001856282353401
Epoch: 31, train ls: 0.027155238638321557, eval ls: 0.029815340414643288
Epoch: 32, train ls: 0.02772564273327589, eval ls: 0.030128553385535876
Epoch: 33, train ls: 0.027673016240199407, eval ls: 0.02968876945475737
Epoch: 34, train ls: 0.027620766684412955, eval ls: 0.029771429548660914
Epoch: 35, train ls: 0.027049968453745046, eval ls: 0.02969735562801361
Epoch: 36, train ls: 0.02773681071897348, eval ls: 0.029683635011315344
Epoch: 37, train ls: 0.026643021653095882, eval ls: 0.029683699583013853
Epoch: 38, train ls: 0.02761975328127543, eval ls: 0.029516289879878362
Epoch: 39, train ls: 0.02720722897599141, eval ls: 0.02933221571147442
Epoch: 40, train ls: 0.026948882825672628, eval ls: 0.029438293973604836
Epoch: 41, train ls: 0.027010760021706423, eval ls: 0.02967682033777237
Epoch: 42, train ls: 0.02665574022879203, eval ls: 0.0292851864049832
Epoch: 43, train ls: 0.02630117063721021, eval ls: 0.029331596568226814
Epoch: 44, train ls: 0.026042118047674496, eval ls: 0.029289340352018675
Epoch: 45, train ls: 0.02683707562585672, eval ls: 0.02939485025902589
Epoch: 46, train ls: 0.025470455549657343, eval ls: 0.029272717237472535
Epoch: 47, train ls: 0.026191625619928043, eval ls: 0.029137396439909934
Epoch: 48, train ls: 0.025968803465366362, eval ls: 0.02934267744421959
Epoch: 49, train ls: 0.025969597200552624, eval ls: 0.028982071702679
Epoch: 50, train ls: 0.025492509516576927, eval ls: 0.029112396761775017
Epoch: 51, train ls: 0.025388940299550692, eval ls: 0.02888616273800532
Epoch: 52, train ls: 0.02561090060820182, eval ls: 0.02901570312678814
Epoch: 53, train ls: 0.025180182605981826, eval ls: 0.02864176742732525
Epoch: 54, train ls: 0.02530139194180568, eval ls: 0.028571113819877307
Epoch: 55, train ls: 0.02474686224013567, eval ls: 0.029118365421891213
Epoch: 56, train ls: 0.02473172415047884, eval ls: 0.02867465801537037
Epoch: 57, train ls: 0.024368230750163398, eval ls: 0.02859967475136121
Epoch: 58, train ls: 0.02484203620503346, eval ls: 0.02830523078640302
Epoch: 59, train ls: 0.024599366324643292, eval ls: 0.02792577395836512
Epoch: 60, train ls: 0.024489063086609045, eval ls: 0.02793958509961764
Epoch: 61, train ls: 0.02440145704895258, eval ls: 0.027839475497603416
Epoch: 62, train ls: 0.024245733271042506, eval ls: 0.028273153180877367
Epoch: 63, train ls: 0.02452991288155317, eval ls: 0.02770416314403216
Epoch: 64, train ls: 0.02434900018076102, eval ls: 0.027936395381887753
Epoch: 65, train ls: 0.024340473798414072, eval ls: 0.027797061080733935
Epoch: 66, train ls: 0.024575785671671232, eval ls: 0.02756152078509331
Epoch: 67, train ls: 0.02397525360186895, eval ls: 0.02816664588948091
Epoch: 68, train ls: 0.024083721886078515, eval ls: 0.027489161988099416
Epoch: 69, train ls: 0.023918577221532664, eval ls: 0.027566665038466453
Epoch: 70, train ls: 0.0234739787876606, eval ls: 0.027568931753436724
Epoch: 71, train ls: 0.024041824974119663, eval ls: 0.02734264495472113
Epoch: 72, train ls: 0.023655913273493447, eval ls: 0.02737269935508569
Epoch: 73, train ls: 0.02364459844926993, eval ls: 0.027383263533314068
Epoch: 74, train ls: 0.02353463259836038, eval ls: 0.026861804723739623
Epoch: 75, train ls: 0.023094439630707106, eval ls: 0.02685899958014488
Epoch: 76, train ls: 0.023355259808401266, eval ls: 0.026875645915667216
Epoch: 77, train ls: 0.023041823878884315, eval ls: 0.027204962074756624
Epoch: 78, train ls: 0.023452425375580788, eval ls: 0.02666038324435552
Epoch: 79, train ls: 0.02291789259761572, eval ls: 0.026896090308825175
Epoch: 80, train ls: 0.023337381953994433, eval ls: 0.026471553246180217
Epoch: 81, train ls: 0.022694849284986655, eval ls: 0.026682291055719058
Epoch: 82, train ls: 0.02318238951265812, eval ls: 0.026925051212310792
Epoch: 83, train ls: 0.022884804879625638, eval ls: 0.02630968950688839
Epoch: 84, train ls: 0.02291184434046348, eval ls: 0.026416570817430814
Epoch: 85, train ls: 0.022647209962209067, eval ls: 0.02635068992773692
Epoch: 86, train ls: 0.02332020743439595, eval ls: 0.026478746285041172
Epoch: 87, train ls: 0.022777310075859227, eval ls: 0.02643523452182611
Epoch: 88, train ls: 0.022832552343606947, eval ls: 0.026259357978900274
Epoch: 89, train ls: 0.022788870645066104, eval ls: 0.026529595255851746
Epoch: 90, train ls: 0.022733102987209954, eval ls: 0.026128139843543372
Epoch: 91, train ls: 0.022497801234324773, eval ls: 0.026167459785938263
Epoch: 92, train ls: 0.02255462296307087, eval ls: 0.02629733954866727
Epoch: 93, train ls: 0.022536535002291202, eval ls: 0.026346037661035857
Epoch: 94, train ls: 0.022077865215639272, eval ls: 0.026134583602348962
Epoch: 95, train ls: 0.022479867500563463, eval ls: 0.026066216329733532
Epoch: 96, train ls: 0.022342065845926604, eval ls: 0.026317047203580538
Epoch: 97, train ls: 0.022381122844914596, eval ls: 0.025822606682777405
Epoch: 98, train ls: 0.022363147449990115, eval ls: 0.025791877632339796
Epoch: 99, train ls: 0.021927711305518946, eval ls: 0.02622973347703616
Epoch: 100, train ls: 0.022834755666553973, eval ls: 0.025800123686591785
Epoch: 101, train ls: 0.022108041184643903, eval ls: 0.02598630773524443
Epoch: 102, train ls: 0.022171586317320666, eval ls: 0.026127975558241208
Epoch: 103, train ls: 0.021703050285577775, eval ls: 0.025982638324300446
