Epoch: 0, train ls: 0.692380940914154, eval ls: 0.6916131138801574
Epoch: 1, train ls: 0.6908246298631032, eval ls: 0.6899921099344889
Epoch: 2, train ls: 0.6891020218531291, eval ls: 0.6881056487560272
Epoch: 3, train ls: 0.6869301100571951, eval ls: 0.6856316308180491
Epoch: 4, train ls: 0.6839406619469325, eval ls: 0.6818435192108154
Epoch: 5, train ls: 0.6785945435365041, eval ls: 0.6739874958992005
Epoch: 6, train ls: 0.6636616686979929, eval ls: 0.6466756343841553
Epoch: 7, train ls: 0.6197840829690298, eval ls: 0.5915504018465678
Epoch: 8, train ls: 0.5610624839862187, eval ls: 0.5289237896601359
Epoch: 9, train ls: 0.5045544852813085, eval ls: 0.48772675494352974
Epoch: 10, train ls: 0.47758428851763407, eval ls: 0.4695316404104233
Epoch: 11, train ls: 0.46266952753067014, eval ls: 0.45897807478904723
Epoch: 12, train ls: 0.45360730091730755, eval ls: 0.4517148027817408
Epoch: 13, train ls: 0.44780952036380767, eval ls: 0.44625204304854077
Epoch: 14, train ls: 0.4431490793824196, eval ls: 0.4418890525897344
Epoch: 15, train ls: 0.4388568863272667, eval ls: 0.43826434314250945
Epoch: 16, train ls: 0.43759928544362386, eval ls: 0.43520259658495586
Epoch: 17, train ls: 0.43313074856996536, eval ls: 0.4325094650189082
Epoch: 18, train ls: 0.43089720904827117, eval ls: 0.43012168308099114
Epoch: 19, train ls: 0.42922379126151405, eval ls: 0.42798487345377606
Epoch: 20, train ls: 0.4277238811055819, eval ls: 0.42604632675647736
Epoch: 21, train ls: 0.4247757305701574, eval ls: 0.424258291721344
Epoch: 22, train ls: 0.422687961657842, eval ls: 0.42260295649369556
Epoch: 23, train ls: 0.42119618008534115, eval ls: 0.42106449604034424
Epoch: 24, train ls: 0.419897231956323, eval ls: 0.4196275552113851
Epoch: 25, train ls: 0.4191432073712349, eval ls: 0.4182770589987437
Epoch: 26, train ls: 0.4172081117828687, eval ls: 0.4169944037993749
Epoch: 27, train ls: 0.4173641413450241, eval ls: 0.4157737304766973
Epoch: 28, train ls: 0.4148030598958333, eval ls: 0.41459024548530576
Epoch: 29, train ls: 0.4146002208193143, eval ls: 0.4134381343921026
Epoch: 30, train ls: 0.4119160751501719, eval ls: 0.4122915575901667
Epoch: 31, train ls: 0.41096891909837724, eval ls: 0.41113756597042084
Epoch: 32, train ls: 0.41058248033126193, eval ls: 0.40994772017002107
Epoch: 33, train ls: 0.4089445953567823, eval ls: 0.40867922504742943
Epoch: 34, train ls: 0.4071678161621094, eval ls: 0.40727673172950746
Epoch: 35, train ls: 0.4054821074008942, eval ls: 0.4056970367829005
Epoch: 36, train ls: 0.40566672136386234, eval ls: 0.40393181244532267
Epoch: 37, train ls: 0.40437565445899964, eval ls: 0.4020576963822047
Epoch: 38, train ls: 0.40102208654085797, eval ls: 0.400219209988912
Epoch: 39, train ls: 0.40025263875722883, eval ls: 0.3985470642646154
Epoch: 40, train ls: 0.39750480502843855, eval ls: 0.39704860349496207
Epoch: 41, train ls: 0.39593875805536904, eval ls: 0.3957107563813527
Epoch: 42, train ls: 0.3920324568947156, eval ls: 0.3944882998863856
Epoch: 43, train ls: 0.39477835843960446, eval ls: 0.3933937152226766
Epoch: 44, train ls: 0.39315062065919243, eval ls: 0.39238116244475046
