Epoch: 0, train ls: 0.42451229244470595, eval ls: 0.4012785454591115
Epoch: 1, train ls: 0.4005569855372111, eval ls: 0.3996451099713643
Epoch: 2, train ls: 0.3999757597843806, eval ls: 0.39886301557223003
Epoch: 3, train ls: 0.39853953272104264, eval ls: 0.3984953025976817
Epoch: 4, train ls: 0.39793865829706193, eval ls: 0.3979324072599411
Epoch: 5, train ls: 0.39867620865503944, eval ls: 0.39730153878529867
Epoch: 6, train ls: 0.3975023920337359, eval ls: 0.39677480459213255
Epoch: 7, train ls: 0.39503705551226936, eval ls: 0.39619768857955934
Epoch: 8, train ls: 0.3941502844293912, eval ls: 0.39608604510625206
Epoch: 9, train ls: 0.3936881790558497, eval ls: 0.3956358442703883
Epoch: 10, train ls: 0.39412226180235543, eval ls: 0.39550542235374453
Epoch: 11, train ls: 0.3941755106051763, eval ls: 0.3952933092912038
Epoch: 12, train ls: 0.3942052667339643, eval ls: 0.39474265774091083
Epoch: 13, train ls: 0.39336365113655725, eval ls: 0.3944908688465754
Epoch: 14, train ls: 0.39231536636749903, eval ls: 0.3938551356395086
Epoch: 15, train ls: 0.3938801129659017, eval ls: 0.39367933869361876
Epoch: 16, train ls: 0.3931564435362816, eval ls: 0.393428165713946
Epoch: 17, train ls: 0.3908913865685463, eval ls: 0.3931625912586848
Epoch: 18, train ls: 0.3931619703769684, eval ls: 0.39293803175290426
Epoch: 19, train ls: 0.39256956477959953, eval ls: 0.39266873995463053
Epoch: 20, train ls: 0.3920490135749181, eval ls: 0.39246172507603966
Epoch: 21, train ls: 0.3907461270689964, eval ls: 0.3922109047571818
Epoch: 22, train ls: 0.39120392749706906, eval ls: 0.39201754132906597
Epoch: 23, train ls: 0.39089115311702094, eval ls: 0.39162683884302774
Epoch: 24, train ls: 0.39057650913794834, eval ls: 0.3912018120288849
Epoch: 25, train ls: 0.39206310659646987, eval ls: 0.39092225531737007
Epoch: 26, train ls: 0.3900040040413539, eval ls: 0.39050750037034354
Epoch: 27, train ls: 0.3893777464826902, eval ls: 0.38999479711055757
Epoch: 28, train ls: 0.3889182796080907, eval ls: 0.38966074188550315
Epoch: 29, train ls: 0.3898607725898425, eval ls: 0.38933264116446176
Epoch: 30, train ls: 0.3902425691485405, eval ls: 0.38907315929730735
Epoch: 31, train ls: 0.3886265511314074, eval ls: 0.38879165550072986
Epoch: 32, train ls: 0.3890654767553012, eval ls: 0.3885515064001083
Epoch: 33, train ls: 0.3874223510424296, eval ls: 0.38831985692183174
Epoch: 34, train ls: 0.39011225004990896, eval ls: 0.38817196786403657
Epoch: 35, train ls: 0.388277401526769, eval ls: 0.38803500433762866
Epoch: 36, train ls: 0.3865280772248904, eval ls: 0.3879740307728449
Epoch: 37, train ls: 0.387856358786424, eval ls: 0.38759037653605144
Epoch: 38, train ls: 0.38712145388126373, eval ls: 0.3874132543802261
Epoch: 39, train ls: 0.3866082598765691, eval ls: 0.38713069359461466
Epoch: 40, train ls: 0.3860938847064972, eval ls: 0.3870201031366984
Epoch: 41, train ls: 0.3859022046128909, eval ls: 0.38669190406799314
Epoch: 42, train ls: 0.3867979044715563, eval ls: 0.3863990952571233
Epoch: 43, train ls: 0.38683738907178244, eval ls: 0.38633316854635874
Epoch: 44, train ls: 0.3862528016169866, eval ls: 0.3861750692129135
Epoch: 45, train ls: 0.3862112373113632, eval ls: 0.3861045996348063
Epoch: 46, train ls: 0.38618343422810236, eval ls: 0.38605165779590606
Epoch: 47, train ls: 0.38634778261184693, eval ls: 0.38598952293395994
Epoch: 48, train ls: 0.38570370177427926, eval ls: 0.3858678966760635
Epoch: 49, train ls: 0.385305513938268, eval ls: 0.38586789071559907
Epoch: 50, train ls: 0.38477992862462995, eval ls: 0.38586788972218833
Epoch: 51, train ls: 0.3851050227880478, eval ls: 0.3858678678671519
Epoch: 52, train ls: 0.38671878923972447, eval ls: 0.38573607901732127
Epoch: 53, train ls: 0.38389613876740136, eval ls: 0.3856475989023844
Epoch: 54, train ls: 0.38521498392025627, eval ls: 0.38558176954587303
Epoch: 55, train ls: 0.38533570915460585, eval ls: 0.3852767586708069
Epoch: 56, train ls: 0.3854688545068105, eval ls: 0.3850823958714803
Epoch: 57, train ls: 0.3836044738690058, eval ls: 0.3849346657594045
Epoch: 58, train ls: 0.3836686462163925, eval ls: 0.38472738762696584
Epoch: 59, train ls: 0.38331548670927684, eval ls: 0.384658145904541
Epoch: 60, train ls: 0.38425685862700143, eval ls: 0.38463539679845177
Epoch: 61, train ls: 0.383529066046079, eval ls: 0.38452219565709433
Epoch: 62, train ls: 0.3832717667023341, eval ls: 0.384200660387675
Epoch: 63, train ls: 0.38245235085487367, eval ls: 0.3841579437255859
Epoch: 64, train ls: 0.3848684921860695, eval ls: 0.38407014807065326
Epoch: 65, train ls: 0.3854122325778008, eval ls: 0.3839218149582545
Epoch: 66, train ls: 0.3827789410948753, eval ls: 0.38391338487466176
Epoch: 67, train ls: 0.38400057703256607, eval ls: 0.3838365077972412
Epoch: 68, train ls: 0.3843816782037417, eval ls: 0.38381570974985757
Epoch: 69, train ls: 0.383877790470918, eval ls: 0.38365922470887504
Epoch: 70, train ls: 0.382868658999602, eval ls: 0.38365387519200644
Epoch: 71, train ls: 0.3832780376076698, eval ls: 0.3835320542256037
Epoch: 72, train ls: 0.3824621558189392, eval ls: 0.3834021985530853
Epoch: 73, train ls: 0.3835054183999697, eval ls: 0.3833720535039902
