Epoch: 0, train ls: 0.6931682417790095, eval ls: 0.6931594471136729
Epoch: 1, train ls: 0.6931534320116043, eval ls: 0.6931445817152659
Epoch: 2, train ls: 0.6931385546922684, eval ls: 0.6931297143300374
Epoch: 3, train ls: 0.6931225806474686, eval ls: 0.6931147694587707
Epoch: 4, train ls: 0.6931093951066335, eval ls: 0.693099848429362
Epoch: 5, train ls: 0.6930940290292104, eval ls: 0.6930848956108093
Epoch: 6, train ls: 0.6930790136257807, eval ls: 0.6930700202782949
Epoch: 7, train ls: 0.693063407142957, eval ls: 0.6930550734202067
Epoch: 8, train ls: 0.6930488427480062, eval ls: 0.6930402080217998
Epoch: 9, train ls: 0.6930332005023956, eval ls: 0.6930253088474274
Epoch: 10, train ls: 0.6930186986923218, eval ls: 0.6930104335149129
Epoch: 11, train ls: 0.6930043121178945, eval ls: 0.6929955244064331
Epoch: 12, train ls: 0.692988982796669, eval ls: 0.6929806113243103
Epoch: 13, train ls: 0.692974571386973, eval ls: 0.6929657618204753
Epoch: 14, train ls: 0.6929586867491404, eval ls: 0.6929508606592815
Epoch: 15, train ls: 0.6929439187049866, eval ls: 0.6929360051949819
Epoch: 16, train ls: 0.6929292758305867, eval ls: 0.6929211139678955
Epoch: 17, train ls: 0.6929143965244293, eval ls: 0.6929062525431315
Epoch: 18, train ls: 0.6928995619217555, eval ls: 0.6928913692633311
Epoch: 19, train ls: 0.692884714404742, eval ls: 0.6928765078385671
Epoch: 20, train ls: 0.692868925134341, eval ls: 0.6928616245587667
Epoch: 21, train ls: 0.6928539832433065, eval ls: 0.6928467293580373
Epoch: 22, train ls: 0.692839914560318, eval ls: 0.6928318917751313
Epoch: 23, train ls: 0.6928256422281265, eval ls: 0.6928170204162598
Epoch: 24, train ls: 0.692810395359993, eval ls: 0.6928021629651387
Epoch: 25, train ls: 0.6927948335806529, eval ls: 0.6927872816721599
Epoch: 26, train ls: 0.6927808165550232, eval ls: 0.6927723964055379
Epoch: 27, train ls: 0.6927667518456777, eval ls: 0.6927575627962749
Epoch: 28, train ls: 0.6927515556414922, eval ls: 0.6927427073319753
Epoch: 29, train ls: 0.6927350511153539, eval ls: 0.6927277902762096
Epoch: 30, train ls: 0.6927207171916961, eval ls: 0.692712950706482
Epoch: 31, train ls: 0.6927062580982845, eval ls: 0.6926980793476105
Epoch: 32, train ls: 0.6926914880673091, eval ls: 0.6926832179228465
Epoch: 33, train ls: 0.6926758160193761, eval ls: 0.6926683187484741
Epoch: 34, train ls: 0.6926594356695811, eval ls: 0.6926533997058868
Epoch: 35, train ls: 0.6926463842391968, eval ls: 0.6926385402679444
Epoch: 36, train ls: 0.692632332444191, eval ls: 0.6926237106323242
