E 200, N_steps 102912, FPS 1389 mean/median -21.3/-21.8, min/max -23.4/-17.8 Entropy 0.90621,V 0.04357,Action -0.02017
E 400, N_steps 205312, FPS 1325 mean/median -22.5/-22.4, min/max -23.5/-21.2 Entropy 0.90582,V 0.03061,Action -0.04334
E 600, N_steps 307712, FPS 1305 mean/median -22.3/-21.9, min/max -24.2/-20.7 Entropy 0.88724,V 0.02754,Action -0.04476
E 800, N_steps 410112, FPS 1298 mean/median -22.0/-22.5, min/max -24.3/-19.6 Entropy 0.84550,V 0.01326,Action -0.04927
E 1000, N_steps 512512, FPS 1293 mean/median -23.1/-23.2, min/max -24.4/-22.1 Entropy 0.78965,V 0.06336,Action -0.04583
E 1200, N_steps 614912, FPS 1290 mean/median -22.4/-22.8, min/max -24.5/-19.8 Entropy 0.80396,V 0.04841,Action -0.05306
E 1400, N_steps 717312, FPS 1288 mean/median -22.4/-22.7, min/max -24.5/-19.8 Entropy 0.81761,V 0.03553,Action -0.04814
E 1600, N_steps 819712, FPS 1287 mean/median -22.5/-22.8, min/max -24.5/-21.0 Entropy 0.78585,V 0.05063,Action -0.04609
E 1800, N_steps 922112, FPS 1284 mean/median -23.2/-23.4, min/max -24.6/-21.0 Entropy 0.80653,V 0.04939,Action -0.04911
E 2000, N_steps 1024512, FPS 1282 mean/median -23.6/-23.4, min/max -24.6/-22.3 Entropy 0.76186,V 0.03892,Action -0.05235
E 2200, N_steps 1126912, FPS 1281 mean/median -23.4/-23.5, min/max -24.7/-21.2 Entropy 0.79696,V 0.02771,Action -0.05743
E 2400, N_steps 1229312, FPS 1280 mean/median -23.8/-24.8, min/max -24.8/-20.1 Entropy 0.77900,V 0.04303,Action -0.05434
E 2600, N_steps 1331712, FPS 1278 mean/median -21.8/-21.9, min/max -24.9/-16.6 Entropy 0.81335,V 0.06103,Action -0.04718
E 2800, N_steps 1434112, FPS 1277 mean/median -22.6/-22.6, min/max -25.0/-19.0 Entropy 0.73627,V 0.01816,Action -0.04785
E 3000, N_steps 1536512, FPS 1277 mean/median -23.7/-23.9, min/max -25.1/-21.5 Entropy 0.74216,V 0.01430,Action -0.04620
E 3200, N_steps 1638912, FPS 1276 mean/median -22.4/-22.2, min/max -25.2/-19.2 Entropy 0.78158,V 0.04905,Action -0.04909
E 3400, N_steps 1741312, FPS 1275 mean/median -22.7/-22.8, min/max -25.3/-20.4 Entropy 0.74985,V 0.00624,Action -0.05190
E 3600, N_steps 1843712, FPS 1275 mean/median -23.4/-24.0, min/max -25.2/-21.6 Entropy 0.74310,V 0.06879,Action -0.04779
E 3800, N_steps 1946112, FPS 1275 mean/median -23.2/-24.1, min/max -25.3/-19.2 Entropy 0.77108,V 0.07736,Action -0.05569
E 4000, N_steps 2048512, FPS 1273 mean/median -23.1/-22.9, min/max -25.3/-21.7 Entropy 0.76546,V 0.03976,Action -0.04711
E 4200, N_steps 2150912, FPS 1273 mean/median -22.7/-22.4, min/max -25.4/-18.1 Entropy 0.73669,V 0.04470,Action -0.05122
E 4400, N_steps 2253312, FPS 1272 mean/median -23.5/-23.1, min/max -25.5/-20.6 Entropy 0.72137,V 0.01857,Action -0.04737
E 4600, N_steps 2355712, FPS 1271 mean/median -22.0/-21.3, min/max -24.3/-19.4 Entropy 0.75574,V 0.03133,Action -0.04696
E 4800, N_steps 2458112, FPS 1270 mean/median -22.3/-22.5, min/max -24.3/-19.5 Entropy 0.73878,V 0.02710,Action -0.05112
E 5000, N_steps 2560512, FPS 1270 mean/median -22.5/-21.9, min/max -25.6/-20.7 Entropy 0.71937,V 0.05856,Action -0.05137
E 5200, N_steps 2662912, FPS 1269 mean/median -22.9/-22.6, min/max -25.6/-20.7 Entropy 0.68226,V 0.04072,Action -0.04671
E 5400, N_steps 2765312, FPS 1268 mean/median -21.0/-21.4, min/max -23.2/-17.1 Entropy 0.67731,V 0.03668,Action -0.04174
E 5600, N_steps 2867712, FPS 1268 mean/median -22.1/-22.0, min/max -24.5/-19.6 Entropy 0.64339,V 0.04675,Action -0.05057
E 5800, N_steps 2970112, FPS 1267 mean/median -22.5/-22.7, min/max -25.7/-18.4 Entropy 0.69797,V 0.03228,Action -0.05011
E 6000, N_steps 3072512, FPS 1266 mean/median -23.2/-23.3, min/max -24.6/-20.9 Entropy 0.63853,V 0.01848,Action -0.04848
E 6200, N_steps 3174912, FPS 1265 mean/median -22.7/-22.7, min/max -25.8/-20.9 Entropy 0.69680,V 0.01713,Action -0.05425
