Epoch: 0, train ls: 0.03583697453141212, eval ls: 0.03443865527709325
Epoch: 1, train ls: 0.03536014954249064, eval ls: 0.03396055698394775
Epoch: 2, train ls: 0.03139533667514722, eval ls: 0.030965083340803782
Epoch: 3, train ls: 0.027620408621927103, eval ls: 0.029663340374827384
Epoch: 4, train ls: 0.025945000474651654, eval ls: 0.02889509660502275
Epoch: 5, train ls: 0.025035918628176054, eval ls: 0.028384544948736826
Epoch: 6, train ls: 0.024803997948765755, eval ls: 0.028192783892154693
Epoch: 7, train ls: 0.023361331038177013, eval ls: 0.027908823142449062
Epoch: 8, train ls: 0.023184088555475078, eval ls: 0.02795753926038742
Epoch: 9, train ls: 0.022947604395449163, eval ls: 0.027835531781117123
Epoch: 10, train ls: 0.02222111274798711, eval ls: 0.02777220159769058
Epoch: 11, train ls: 0.021614453506966433, eval ls: 0.02758394752939542
Epoch: 12, train ls: 0.021746916758517424, eval ls: 0.02747962959110737
Epoch: 13, train ls: 0.02159320159504811, eval ls: 0.02778293825685978
Epoch: 14, train ls: 0.020923303378125032, eval ls: 0.027791495124499004
Epoch: 15, train ls: 0.020352167822420598, eval ls: 0.02760556973516941
Epoch: 16, train ls: 0.020170276736219725, eval ls: 0.027850903073946633
Epoch: 17, train ls: 0.019878123824795087, eval ls: 0.027726832032203674
Epoch: 18, train ls: 0.01972826843460401, eval ls: 0.0278002355247736
Epoch: 19, train ls: 0.01872530604402224, eval ls: 0.027887638534108798
Epoch: 20, train ls: 0.018484083066383997, eval ls: 0.027649941419561706
Epoch: 21, train ls: 0.018665693110475938, eval ls: 0.02732675236960252
Epoch: 22, train ls: 0.018840503630538782, eval ls: 0.02729184180498123
Epoch: 23, train ls: 0.018288475833833216, eval ls: 0.02753016402324041
Epoch: 24, train ls: 0.018233624255905547, eval ls: 0.02744669603804747
Epoch: 25, train ls: 0.01752788427596291, eval ls: 0.027202643950780234
Epoch: 26, train ls: 0.017297681514173747, eval ls: 0.02722164827088515
Epoch: 27, train ls: 0.017240712760637204, eval ls: 0.02707835572461287
Epoch: 28, train ls: 0.01735170402874549, eval ls: 0.02728538153072198
Epoch: 29, train ls: 0.016730576970924935, eval ls: 0.027187943210204443
Epoch: 30, train ls: 0.01666216297696034, eval ls: 0.027050192405780157
Epoch: 31, train ls: 0.01683558039367199, eval ls: 0.02705475005010764
Epoch: 32, train ls: 0.016274088807404042, eval ls: 0.026946693286299707
Epoch: 33, train ls: 0.016398698619256417, eval ls: 0.026986626908183098
Epoch: 34, train ls: 0.01653157832721869, eval ls: 0.02684631012380123
Epoch: 35, train ls: 0.015589824380973975, eval ls: 0.026850968102614083
