Time 00h 00m 01s, num steps 2407, FPS 2093, episode reward -21.0, episode length 1266
Time 00h 00m 07s, num steps 15013, FPS 2114, episode reward -21.0, episode length 1044
Time 00h 00m 13s, num steps 27346, FPS 2060, episode reward -21.0, episode length 1017
Time 00h 00m 19s, num steps 39514, FPS 2054, episode reward -21.0, episode length 1017
Time 00h 00m 25s, num steps 52038, FPS 2065, episode reward -21.0, episode length 1015
Time 00h 00m 31s, num steps 64630, FPS 2076, episode reward -21.0, episode length 1022
Time 00h 00m 37s, num steps 77226, FPS 2083, episode reward -21.0, episode length 1027
Time 00h 00m 43s, num steps 89874, FPS 2089, episode reward -21.0, episode length 1006
Time 00h 00m 48s, num steps 102456, FPS 2093, episode reward -21.0, episode length 1022
Time 00h 00m 54s, num steps 114981, FPS 2095, episode reward -21.0, episode length 1006
Time 00h 01m 00s, num steps 127558, FPS 2097, episode reward -21.0, episode length 1018
Time 00h 01m 06s, num steps 140148, FPS 2098, episode reward -21.0, episode length 1046
Time 00h 01m 12s, num steps 152784, FPS 2100, episode reward -21.0, episode length 1009
Time 00h 01m 18s, num steps 165390, FPS 2101, episode reward -21.0, episode length 1010
Time 00h 01m 24s, num steps 177954, FPS 2102, episode reward -21.0, episode length 1004
Time 00h 01m 30s, num steps 190562, FPS 2101, episode reward -21.0, episode length 1010
Time 00h 01m 36s, num steps 203142, FPS 2102, episode reward -21.0, episode length 1014
Time 00h 01m 42s, num steps 215687, FPS 2102, episode reward -21.0, episode length 1027
Time 00h 01m 48s, num steps 228236, FPS 2103, episode reward -21.0, episode length 1018
Time 00h 01m 54s, num steps 240890, FPS 2104, episode reward -21.0, episode length 1038
Time 00h 02m 00s, num steps 253476, FPS 2105, episode reward -21.0, episode length 1006
Time 00h 02m 06s, num steps 266089, FPS 2105, episode reward -21.0, episode length 1019
Time 00h 02m 12s, num steps 278675, FPS 2105, episode reward -21.0, episode length 1019
Time 00h 02m 18s, num steps 291268, FPS 2105, episode reward -21.0, episode length 1026
Time 00h 02m 24s, num steps 303920, FPS 2106, episode reward -21.0, episode length 1025
Time 00h 02m 30s, num steps 316548, FPS 2107, episode reward -21.0, episode length 1003
Time 00h 02m 36s, num steps 329208, FPS 2107, episode reward -21.0, episode length 1013
