loss: -0.0067, minimizing loss: 30.4586, maximizing loss: 30.4653
loss: 0.0174, minimizing loss: 30.6928, maximizing loss: 30.6754
loss: 0.0486, minimizing loss: 30.7408, maximizing loss: 30.6922
loss: -0.0087, minimizing loss: 30.6033, maximizing loss: 30.6121
loss: 0.0033, minimizing loss: 30.3809, maximizing loss: 30.3776
loss: -0.0021, minimizing loss: 30.4119, maximizing loss: 30.4140
loss: -0.0020, minimizing loss: 30.4363, maximizing loss: 30.4383
loss: 0.0078, minimizing loss: 30.2668, maximizing loss: 30.2589
loss: -0.0003, minimizing loss: 30.2342, maximizing loss: 30.2345
loss: -0.0140, minimizing loss: 30.1887, maximizing loss: 30.2028
loss: -0.0360, minimizing loss: 30.3819, maximizing loss: 30.4179
loss: 0.0103, minimizing loss: 30.2040, maximizing loss: 30.1937
loss: -0.0296, minimizing loss: 30.3081, maximizing loss: 30.3377
loss: 0.0758, minimizing loss: 30.2166, maximizing loss: 30.1408
loss: -0.0207, minimizing loss: 30.3916, maximizing loss: 30.4123
loss: -0.0206, minimizing loss: 30.4301, maximizing loss: 30.4507
loss: -0.0549, minimizing loss: 30.4603, maximizing loss: 30.5152
loss: -0.0116, minimizing loss: 30.4003, maximizing loss: 30.4119
loss: -0.0349, minimizing loss: 30.5573, maximizing loss: 30.5922
loss: -0.0697, minimizing loss: 30.6842, maximizing loss: 30.7539
loss: 0.0338, minimizing loss: 30.6245, maximizing loss: 30.5907
loss: -0.0655, minimizing loss: 30.8248, maximizing loss: 30.8903
loss: -0.0416, minimizing loss: 30.8724, maximizing loss: 30.9141
loss: -0.0055, minimizing loss: 30.9908, maximizing loss: 30.9963
loss: -0.0231, minimizing loss: 31.1492, maximizing loss: 31.1723
loss: 0.0028, minimizing loss: 31.2551, maximizing loss: 31.2522
loss: -0.0577, minimizing loss: 31.5651, maximizing loss: 31.6228
loss: -0.1952, minimizing loss: 31.6593, maximizing loss: 31.8545
loss: -0.0312, minimizing loss: 32.3113, maximizing loss: 32.3425
loss: -0.0690, minimizing loss: 32.8500, maximizing loss: 32.9190
loss: -0.1936, minimizing loss: 33.5816, maximizing loss: 33.7752
loss: -0.1339, minimizing loss: 34.4903, maximizing loss: 34.6243
loss: 0.5596, minimizing loss: 36.0304, maximizing loss: 35.4708
loss: 0.4657, minimizing loss: 35.9917, maximizing loss: 35.5261
loss: -0.1577, minimizing loss: 35.1456, maximizing loss: 35.3033
loss: -0.3145, minimizing loss: 34.7390, maximizing loss: 35.0535
loss: -0.2282, minimizing loss: 34.6840, maximizing loss: 34.9122
loss: 0.6893, minimizing loss: 34.8144, maximizing loss: 34.1251
loss: -0.7193, minimizing loss: 34.1717, maximizing loss: 34.8910
loss: 0.3237, minimizing loss: 34.5540, maximizing loss: 34.2302
loss: 0.3617, minimizing loss: 34.5094, maximizing loss: 34.1477
loss: -0.8109, minimizing loss: 34.1542, maximizing loss: 34.9651
loss: -0.5498, minimizing loss: 34.2365, maximizing loss: 34.7864
loss: -0.2427, minimizing loss: 34.5372, maximizing loss: 34.7799
loss: -0.1144, minimizing loss: 34.7564, maximizing loss: 34.8708
loss: -0.5735, minimizing loss: 35.0167, maximizing loss: 35.5902
loss: 0.1070, minimizing loss: 35.8175, maximizing loss: 35.7105
loss: 0.4964, minimizing loss: 36.4876, maximizing loss: 35.9912
loss: 0.3428, minimizing loss: 36.7031, maximizing loss: 36.3603
loss: 0.2420, minimizing loss: 36.5717, maximizing loss: 36.3296
loss: -0.6122, minimizing loss: 36.1941, maximizing loss: 36.8063
loss: 0.2005, minimizing loss: 36.5109, maximizing loss: 36.3104
loss: -0.4538, minimizing loss: 36.2672, maximizing loss: 36.7210
loss: 1.4729, minimizing loss: 37.1744, maximizing loss: 35.7015
loss: -0.1165, minimizing loss: 36.3116, maximizing loss: 36.4282
loss: -0.6392, minimizing loss: 35.7257, maximizing loss: 36.3650
loss: 0.4306, minimizing loss: 35.9685, maximizing loss: 35.5379
loss: 0.3035, minimizing loss: 35.7109, maximizing loss: 35.4075
loss: -0.0531, minimizing loss: 35.3627, maximizing loss: 35.4158
loss: -0.3362, minimizing loss: 35.2367, maximizing loss: 35.5729
loss: 0.1349, minimizing loss: 35.5045, maximizing loss: 35.3697
loss: -0.2987, minimizing loss: 35.4913, maximizing loss: 35.7901
loss: -0.0810, minimizing loss: 35.5666, maximizing loss: 35.6475
loss: -0.0190, minimizing loss: 35.9529, maximizing loss: 35.9719
loss: -0.1159, minimizing loss: 36.4289, maximizing loss: 36.5449
loss: -0.2816, minimizing loss: 37.1729, maximizing loss: 37.4545
loss: -0.1619, minimizing loss: 36.7732, maximizing loss: 36.9351
loss: -0.2464, minimizing loss: 36.3124, maximizing loss: 36.5588
loss: -0.1708, minimizing loss: 36.3398, maximizing loss: 36.5106
loss: 0.1073, minimizing loss: 36.1444, maximizing loss: 36.0372
loss: 0.0243, minimizing loss: 36.3261, maximizing loss: 36.3017
loss: -0.2130, minimizing loss: 36.8363, maximizing loss: 37.0493
loss: -0.2006, minimizing loss: 37.1752, maximizing loss: 37.3758
loss: -0.2704, minimizing loss: 37.3167, maximizing loss: 37.5871
loss: -0.2905, minimizing loss: 37.3189, maximizing loss: 37.6094
loss: -0.2144, minimizing loss: 37.2792, maximizing loss: 37.4935
loss: -0.1196, minimizing loss: 37.5115, maximizing loss: 37.6311
loss: -0.3497, minimizing loss: 37.9117, maximizing loss: 38.2614
loss: -0.4285, minimizing loss: 38.0781, maximizing loss: 38.5067
loss: -0.4466, minimizing loss: 38.4775, maximizing loss: 38.9241
loss: -0.2124, minimizing loss: 38.6645, maximizing loss: 38.8769
loss: -0.6001, minimizing loss: 38.7680, maximizing loss: 39.3681
loss: -0.0363, minimizing loss: 39.1635, maximizing loss: 39.1998
loss: -0.3819, minimizing loss: 39.4884, maximizing loss: 39.8703
loss: -0.2311, minimizing loss: 39.8879, maximizing loss: 40.1190
loss: -0.0870, minimizing loss: 40.5383, maximizing loss: 40.6253
loss: -1.0178, minimizing loss: 40.5115, maximizing loss: 41.5293
loss: -0.5365, minimizing loss: 41.4763, maximizing loss: 42.0128
loss: -1.0123, minimizing loss: 42.3773, maximizing loss: 43.3896
loss: 1.4087, minimizing loss: 44.9572, maximizing loss: 43.5485
loss: -0.4202, minimizing loss: 44.2913, maximizing loss: 44.7115
loss: -0.8163, minimizing loss: 44.6093, maximizing loss: 45.4257
loss: -0.1701, minimizing loss: 45.5408, maximizing loss: 45.7110
loss: -1.3939, minimizing loss: 45.8294, maximizing loss: 47.2233
loss: -0.9173, minimizing loss: 47.2911, maximizing loss: 48.2083
loss: -0.1717, minimizing loss: 49.3005, maximizing loss: 49.4723
loss: -0.1347, minimizing loss: 50.8210, maximizing loss: 50.9557
loss: 1.7196, minimizing loss: 53.2946, maximizing loss: 51.5750
loss: -0.6203, minimizing loss: 52.3597, maximizing loss: 52.9801
loss: -0.8590, minimizing loss: 52.4422, maximizing loss: 53.3012
loss: 1.9155, minimizing loss: 54.4664, maximizing loss: 52.5509
loss: -1.2290, minimizing loss: 52.9074, maximizing loss: 54.1364
loss: -0.6654, minimizing loss: 53.3691, maximizing loss: 54.0345
loss: -0.0160, minimizing loss: 54.0291, maximizing loss: 54.0451
loss: -0.9426, minimizing loss: 54.2129, maximizing loss: 55.1555
loss: -0.6815, minimizing loss: 55.0821, maximizing loss: 55.7636
loss: 0.0085, minimizing loss: 56.3130, maximizing loss: 56.3046
loss: -0.4909, minimizing loss: 57.2324, maximizing loss: 57.7233
loss: -0.6832, minimizing loss: 58.7331, maximizing loss: 59.4164
loss: -0.5194, minimizing loss: 60.3282, maximizing loss: 60.8476
