loss: 0.0002, minimizing loss: 29.9324, maximizing loss: 29.9321
loss: 0.0028, minimizing loss: 30.0974, maximizing loss: 30.0946
loss: 0.0073, minimizing loss: 30.1436, maximizing loss: 30.1363
loss: 0.0013, minimizing loss: 30.1548, maximizing loss: 30.1534
loss: -0.0051, minimizing loss: 29.9569, maximizing loss: 29.9620
loss: -0.0066, minimizing loss: 29.9896, maximizing loss: 29.9962
loss: -0.0051, minimizing loss: 30.0630, maximizing loss: 30.0682
loss: 0.0029, minimizing loss: 29.9271, maximizing loss: 29.9242
loss: -0.0034, minimizing loss: 29.8463, maximizing loss: 29.8497
loss: -0.0147, minimizing loss: 29.7684, maximizing loss: 29.7831
loss: -0.0413, minimizing loss: 29.9718, maximizing loss: 30.0131
loss: 0.0044, minimizing loss: 29.6960, maximizing loss: 29.6916
loss: -0.0365, minimizing loss: 29.7872, maximizing loss: 29.8237
loss: 0.0846, minimizing loss: 29.6053, maximizing loss: 29.5208
loss: -0.0347, minimizing loss: 29.7814, maximizing loss: 29.8161
loss: -0.0328, minimizing loss: 29.8645, maximizing loss: 29.8973
loss: -0.0761, minimizing loss: 29.8871, maximizing loss: 29.9632
loss: -0.0266, minimizing loss: 29.7558, maximizing loss: 29.7823
loss: -0.0452, minimizing loss: 29.9425, maximizing loss: 29.9876
loss: -0.1060, minimizing loss: 29.9621, maximizing loss: 30.0681
loss: 0.0346, minimizing loss: 29.8057, maximizing loss: 29.7711
loss: -0.1026, minimizing loss: 29.9641, maximizing loss: 30.0667
loss: -0.0664, minimizing loss: 30.0581, maximizing loss: 30.1245
loss: -0.0296, minimizing loss: 30.0957, maximizing loss: 30.1253
loss: -0.0556, minimizing loss: 30.2221, maximizing loss: 30.2776
loss: -0.0067, minimizing loss: 30.4495, maximizing loss: 30.4562
loss: -0.1131, minimizing loss: 30.8654, maximizing loss: 30.9785
loss: -0.3076, minimizing loss: 30.9604, maximizing loss: 31.2680
loss: -0.0674, minimizing loss: 31.3789, maximizing loss: 31.4463
loss: -0.1306, minimizing loss: 32.1535, maximizing loss: 32.2841
loss: -0.2781, minimizing loss: 32.7503, maximizing loss: 33.0284
loss: -0.1814, minimizing loss: 33.3622, maximizing loss: 33.5437
loss: 0.5837, minimizing loss: 34.7379, maximizing loss: 34.1542
loss: 0.4776, minimizing loss: 34.8677, maximizing loss: 34.3901
loss: -0.2194, minimizing loss: 34.3286, maximizing loss: 34.5480
loss: -0.3905, minimizing loss: 34.4094, maximizing loss: 34.7999
loss: -0.3062, minimizing loss: 34.6260, maximizing loss: 34.9322
loss: 0.7398, minimizing loss: 35.1823, maximizing loss: 34.4424
loss: -0.8553, minimizing loss: 34.5248, maximizing loss: 35.3801
loss: 0.2529, minimizing loss: 34.7833, maximizing loss: 34.5304
loss: 0.2944, minimizing loss: 35.3193, maximizing loss: 35.0248
loss: -0.8160, minimizing loss: 35.2054, maximizing loss: 36.0214
loss: -0.5808, minimizing loss: 35.2678, maximizing loss: 35.8486
loss: -0.3876, minimizing loss: 35.6654, maximizing loss: 36.0530
loss: -0.2196, minimizing loss: 35.9060, maximizing loss: 36.1256
loss: -0.6627, minimizing loss: 35.9974, maximizing loss: 36.6601
loss: 0.0417, minimizing loss: 36.7258, maximizing loss: 36.6841
loss: 0.5007, minimizing loss: 37.4034, maximizing loss: 36.9027
loss: 0.2726, minimizing loss: 37.5672, maximizing loss: 37.2945
loss: 0.2082, minimizing loss: 37.5631, maximizing loss: 37.3548
loss: -0.6813, minimizing loss: 37.3254, maximizing loss: 38.0067
loss: 0.1242, minimizing loss: 38.0934, maximizing loss: 37.9692
loss: -0.5055, minimizing loss: 37.8462, maximizing loss: 38.3517
loss: 1.2952, minimizing loss: 38.6610, maximizing loss: 37.3659
loss: -0.2274, minimizing loss: 38.3261, maximizing loss: 38.5535
loss: -0.6851, minimizing loss: 38.3708, maximizing loss: 39.0559
loss: 0.2078, minimizing loss: 39.0548, maximizing loss: 38.8470
loss: 0.0252, minimizing loss: 39.5955, maximizing loss: 39.5703
loss: -0.2215, minimizing loss: 40.2465, maximizing loss: 40.4680
loss: -0.3768, minimizing loss: 41.4439, maximizing loss: 41.8207
loss: -0.1970, minimizing loss: 42.1286, maximizing loss: 42.3255
loss: -0.2405, minimizing loss: 43.5190, maximizing loss: 43.7595
loss: -0.4020, minimizing loss: 44.7833, maximizing loss: 45.1854
loss: -0.3972, minimizing loss: 45.9249, maximizing loss: 46.3221
loss: -0.2435, minimizing loss: 48.1115, maximizing loss: 48.3550
loss: 1.1589, minimizing loss: 51.2233, maximizing loss: 50.0644
loss: -0.2578, minimizing loss: 49.7186, maximizing loss: 49.9764
loss: -0.1116, minimizing loss: 49.1746, maximizing loss: 49.2862
loss: -0.4344, minimizing loss: 47.6405, maximizing loss: 48.0749
loss: -0.9952, minimizing loss: 47.2417, maximizing loss: 48.2369
loss: -1.1400, minimizing loss: 47.8421, maximizing loss: 48.9821
loss: 0.2224, minimizing loss: 49.8025, maximizing loss: 49.5801
loss: 0.6335, minimizing loss: 51.0779, maximizing loss: 50.4444
loss: 0.0615, minimizing loss: 50.5507, maximizing loss: 50.4892
loss: 0.0230, minimizing loss: 50.2773, maximizing loss: 50.2542
loss: -0.7142, minimizing loss: 49.1953, maximizing loss: 49.9095
loss: -1.4920, minimizing loss: 48.8268, maximizing loss: 50.3187
loss: -0.0142, minimizing loss: 50.3766, maximizing loss: 50.3908
loss: 0.0952, minimizing loss: 51.0451, maximizing loss: 50.9499
loss: 0.6505, minimizing loss: 51.3939, maximizing loss: 50.7434
loss: -0.3553, minimizing loss: 49.9821, maximizing loss: 50.3374
loss: -0.0222, minimizing loss: 50.0884, maximizing loss: 50.1106
loss: -0.5286, minimizing loss: 48.7733, maximizing loss: 49.3019
loss: -0.4677, minimizing loss: 48.3925, maximizing loss: 48.8602
loss: -0.3955, minimizing loss: 48.4581, maximizing loss: 48.8535
loss: -0.4869, minimizing loss: 48.3703, maximizing loss: 48.8572
loss: -0.5363, minimizing loss: 48.5036, maximizing loss: 49.0399
loss: -0.3154, minimizing loss: 48.7279, maximizing loss: 49.0433
loss: -0.6494, minimizing loss: 48.6223, maximizing loss: 49.2718
loss: 0.1380, minimizing loss: 49.0708, maximizing loss: 48.9328
loss: -0.4623, minimizing loss: 49.2241, maximizing loss: 49.6864
loss: -0.6918, minimizing loss: 49.3328, maximizing loss: 50.0246
loss: -0.3022, minimizing loss: 49.8228, maximizing loss: 50.1250
loss: -0.8208, minimizing loss: 49.7118, maximizing loss: 50.5325
loss: -0.6813, minimizing loss: 50.2794, maximizing loss: 50.9607
loss: -0.2627, minimizing loss: 50.9024, maximizing loss: 51.1651
loss: -0.2261, minimizing loss: 51.6317, maximizing loss: 51.8578
loss: 0.6433, minimizing loss: 52.7134, maximizing loss: 52.0701
loss: -0.5241, minimizing loss: 52.2954, maximizing loss: 52.8195
loss: -0.6016, minimizing loss: 52.6642, maximizing loss: 53.2658
loss: 0.8110, minimizing loss: 53.5779, maximizing loss: 52.7669
loss: -0.8610, minimizing loss: 53.0101, maximizing loss: 53.8711
loss: -0.5543, minimizing loss: 53.4135, maximizing loss: 53.9678
loss: -0.2072, minimizing loss: 54.1241, maximizing loss: 54.3314
loss: -0.7614, minimizing loss: 54.1397, maximizing loss: 54.9012
loss: -0.4762, minimizing loss: 54.8627, maximizing loss: 55.3389
loss: -0.2595, minimizing loss: 55.5613, maximizing loss: 55.8208
loss: -0.5689, minimizing loss: 55.8779, maximizing loss: 56.4469
loss: -0.5828, minimizing loss: 56.5098, maximizing loss: 57.0926
loss: -0.4858, minimizing loss: 57.2241, maximizing loss: 57.7099
loss: -0.3063, minimizing loss: 58.0051, maximizing loss: 58.3114
