bad one, it was lambda 0.5
loss: 14.9736, minimizing loss: 29.9452, maximizing loss: 29.9432
loss: 14.9018, minimizing loss: 29.8047, maximizing loss: 29.8059
loss: 14.8022, minimizing loss: 29.5974, maximizing loss: 29.5903
loss: 14.6116, minimizing loss: 29.2250, maximizing loss: 29.2267
loss: 14.3270, minimizing loss: 28.6489, maximizing loss: 28.6437
loss: 14.1303, minimizing loss: 28.2551, maximizing loss: 28.2495
loss: 13.8629, minimizing loss: 27.7216, maximizing loss: 27.7174
loss: 13.4223, minimizing loss: 26.8472, maximizing loss: 26.8498
loss: 13.0413, minimizing loss: 26.0792, maximizing loss: 26.0759
loss: 12.6004, minimizing loss: 25.1908, maximizing loss: 25.1808
loss: 12.1711, minimizing loss: 24.3107, maximizing loss: 24.2790
loss: 11.5309, minimizing loss: 23.0565, maximizing loss: 23.0512
loss: 10.9615, minimizing loss: 21.9051, maximizing loss: 21.8872
loss: 10.2783, minimizing loss: 20.5799, maximizing loss: 20.6032
loss: 9.7626, minimizing loss: 19.4931, maximizing loss: 19.4610
loss: 9.0608, minimizing loss: 18.1151, maximizing loss: 18.1086
loss: 8.5128, minimizing loss: 16.9800, maximizing loss: 16.9344
loss: 7.9510, minimizing loss: 15.8657, maximizing loss: 15.8294
loss: 7.4192, minimizing loss: 14.7916, maximizing loss: 14.7448
loss: 6.9707, minimizing loss: 13.8734, maximizing loss: 13.8054
loss: 6.4112, minimizing loss: 12.8318, maximizing loss: 12.8412
loss: 5.9751, minimizing loss: 11.9086, maximizing loss: 11.8671
loss: 5.4683, minimizing loss: 10.8991, maximizing loss: 10.8616
loss: 5.0035, minimizing loss: 10.0089, maximizing loss: 10.0108
loss: 4.5685, minimizing loss: 9.1357, maximizing loss: 9.1344
loss: 4.2036, minimizing loss: 8.4042, maximizing loss: 8.4012
loss: 3.9012, minimizing loss: 7.7942, maximizing loss: 7.7860
loss: 3.5670, minimizing loss: 7.1029, maximizing loss: 7.0718
loss: 3.0995, minimizing loss: 6.2035, maximizing loss: 6.2080
loss: 2.9590, minimizing loss: 5.9187, maximizing loss: 5.9192
loss: 2.6659, minimizing loss: 5.3283, maximizing loss: 5.3247
loss: 2.3208, minimizing loss: 4.6347, maximizing loss: 4.6279
loss: 2.0717, minimizing loss: 4.1689, maximizing loss: 4.1945
loss: 1.8968, minimizing loss: 3.8115, maximizing loss: 3.8295
loss: 1.7440, minimizing loss: 3.4933, maximizing loss: 3.4985
loss: 1.7012, minimizing loss: 3.3953, maximizing loss: 3.3882
loss: 1.5786, minimizing loss: 3.1622, maximizing loss: 3.1671
loss: 1.4958, minimizing loss: 2.9877, maximizing loss: 2.9837
loss: 1.3244, minimizing loss: 2.6595, maximizing loss: 2.6702
loss: 1.0794, minimizing loss: 2.1781, maximizing loss: 2.1973
loss: 1.1072, minimizing loss: 2.2262, maximizing loss: 2.2379
loss: 1.0813, minimizing loss: 2.1686, maximizing loss: 2.1747
loss: 0.9404, minimizing loss: 1.8911, maximizing loss: 1.9013
loss: 0.9414, minimizing loss: 1.8973, maximizing loss: 1.9118
loss: 0.9102, minimizing loss: 1.8296, maximizing loss: 1.8388
loss: 0.8513, minimizing loss: 1.7106, maximizing loss: 1.7186
loss: 0.8038, minimizing loss: 1.6123, maximizing loss: 1.6170
loss: 0.7984, minimizing loss: 1.5963, maximizing loss: 1.5957
loss: 0.7895, minimizing loss: 1.5837, maximizing loss: 1.5884
loss: 0.7298, minimizing loss: 1.4616, maximizing loss: 1.4636
loss: 0.7246, minimizing loss: 1.4520, maximizing loss: 1.4549
loss: 0.7306, minimizing loss: 1.4624, maximizing loss: 1.4636
loss: 0.6846, minimizing loss: 1.3715, maximizing loss: 1.3737
loss: 0.6083, minimizing loss: 1.2237, maximizing loss: 1.2308
loss: 0.6118, minimizing loss: 1.2322, maximizing loss: 1.2409
loss: 0.6101, minimizing loss: 1.2308, maximizing loss: 1.2413
loss: 0.5714, minimizing loss: 1.1497, maximizing loss: 1.1566
loss: 0.6019, minimizing loss: 1.2115, maximizing loss: 1.2193
loss: 0.5948, minimizing loss: 1.1955, maximizing loss: 1.2014
loss: 0.6142, minimizing loss: 1.2377, maximizing loss: 1.2471
loss: 0.5297, minimizing loss: 1.0651, maximizing loss: 1.0707
loss: 0.5262, minimizing loss: 1.0619, maximizing loss: 1.0715
loss: 0.5900, minimizing loss: 1.1880, maximizing loss: 1.1959
loss: 0.4756, minimizing loss: 0.9556, maximizing loss: 0.9599
loss: 0.4946, minimizing loss: 0.9941, maximizing loss: 0.9990
loss: 0.5595, minimizing loss: 1.1306, maximizing loss: 1.1422
loss: 0.5627, minimizing loss: 1.1308, maximizing loss: 1.1361
loss: 0.5995, minimizing loss: 1.2077, maximizing loss: 1.2163
loss: 0.4693, minimizing loss: 0.9461, maximizing loss: 0.9534
loss: 0.5917, minimizing loss: 1.1866, maximizing loss: 1.1897
loss: 0.5693, minimizing loss: 1.1443, maximizing loss: 1.1500
loss: 0.5408, minimizing loss: 1.0882, maximizing loss: 1.0949
loss: 0.5800, minimizing loss: 1.1645, maximizing loss: 1.1689
loss: 0.4957, minimizing loss: 0.9984, maximizing loss: 1.0056
loss: 0.5177, minimizing loss: 1.0417, maximizing loss: 1.0481
loss: 0.4764, minimizing loss: 0.9619, maximizing loss: 0.9709
loss: 0.4858, minimizing loss: 0.9849, maximizing loss: 0.9982
loss: 0.4890, minimizing loss: 0.9869, maximizing loss: 0.9958
loss: 0.5352, minimizing loss: 1.0810, maximizing loss: 1.0916
loss: 0.5276, minimizing loss: 1.0646, maximizing loss: 1.0739
loss: 0.4625, minimizing loss: 0.9326, maximizing loss: 0.9402
