Date,HPI
2017-09-30,2842.0
2017-08-31,2841.0
2017-07-31,2853.0
2017-06-30,2872.0
2017-05-31,2891.0
2017-04-30,2914.0
2017-03-31,2912.0
2017-02-28,2910.0
2017-01-31,2909.0
2016-12-31,2940.0
2016-11-30,2972.0
2016-10-31,3000.0
2016-09-30,3032.0
2016-08-31,3085.0
2016-07-31,3138.0
2016-06-30,3169.0
2016-05-31,3187.0
2016-04-30,3186.0
2016-03-31,3259.0
2016-02-29,3324.0
2016-01-31,3389.0
2015-12-31,3380.0
2015-11-30,3370.0
2015-10-31,3361.0
2015-09-30,3351.0
2015-08-31,3338.0
2015-07-31,3309.0
2015-06-30,3281.0
2015-05-31,3272.0
2015-04-30,3275.0
2015-03-31,3259.0
2015-02-28,3238.0
2015-01-31,3209.0
2014-12-31,3198.0
2014-11-30,3176.0
2014-10-31,3142.0
2014-09-30,3095.0
2014-08-31,3050.0
2014-07-31,3002.0
2014-06-30,2964.0
2014-05-31,2920.0
2014-04-30,2888.0
2014-03-31,2859.0
2014-02-28,2856.0
2014-01-31,2861.0
2013-12-31,2867.0
2013-11-30,2863.0
2013-10-31,2846.0
2013-09-30,2832.0
2013-08-31,2819.0
2013-07-31,2817.0
2013-06-30,2815.0
2013-05-31,2813.0
2013-04-30,2793.0
2013-03-31,2766.0
2013-02-28,2737.0
2013-01-31,2703.0
2012-12-31,2662.0
2012-11-30,2625.0
2012-10-31,2589.0
2012-09-30,2567.0
2012-08-31,2561.0
2012-07-31,2551.0
2012-06-30,2553.0
2012-05-31,2559.0
2012-04-30,2577.0
2012-03-31,2572.0
2012-02-29,2555.0
2012-01-31,2525.0
2011-12-31,2521.0
2011-11-30,2529.0
2011-10-31,2544.0
2011-09-30,2560.0
2011-08-31,2576.0
2011-07-31,2590.0
2011-06-30,2593.0
2011-05-31,2592.0
2011-04-30,2578.0
2011-03-31,2559.0
2011-02-28,2538.0
2011-01-31,2529.0
2010-12-31,2530.0
2010-11-30,2537.0
