iter	AUC
0	0.8073491266
1	0.8129487177
2	0.8141623878
3	0.8150922538
4	0.8156749354
5	0.8160939667
6	0.8162927369
7	0.8165351647
8	0.8168674732
9	0.8170597692
10	0.8172910543
11	0.8174018068
12	0.8175483969
13	0.8177057472
14	0.8178594525
15	0.8179532346
16	0.8180388643
17	0.8181567891
18	0.818210924
19	0.8182827934
20	0.8183302103
21	0.818394192
22	0.8184422203
23	0.8184734363
24	0.8185373009
25	0.8185607254
26	0.8186274733
27	0.8186918902
28	0.8187440731
29	0.8187881469
30	0.8188294855
31	0.8188710881
32	0.818902207
33	0.8189459644
34	0.8189612365
35	0.8189859373
36	0.8190015854
37	0.8190177333
38	0.8190583706
