epoch: 0, mdn loss: 0.9599756598472595, prediction loss: 0.44224828481674194
epoch: 1, mdn loss: 0.9595773220062256, prediction loss: 0.44211646914482117
epoch: 2, mdn loss: 0.9592507481575012, prediction loss: 0.4420001208782196
epoch: 3, mdn loss: 0.9589806199073792, prediction loss: 0.4419041872024536
epoch: 4, mdn loss: 0.9587529897689819, prediction loss: 0.441818505525589
epoch: 5, mdn loss: 0.9585563540458679, prediction loss: 0.4417411684989929
epoch: 6, mdn loss: 0.9583826065063477, prediction loss: 0.441672682762146
epoch: 7, mdn loss: 0.9582272171974182, prediction loss: 0.4416087567806244
epoch: 8, mdn loss: 0.9580863118171692, prediction loss: 0.4415490925312042
epoch: 9, mdn loss: 0.9579566121101379, prediction loss: 0.4414955973625183
epoch: 10, mdn loss: 0.9578360915184021, prediction loss: 0.44144728779792786
epoch: 11, mdn loss: 0.9577211737632751, prediction loss: 0.4414040744304657
epoch: 12, mdn loss: 0.957610011100769, prediction loss: 0.441365122795105
epoch: 13, mdn loss: 0.9575009346008301, prediction loss: 0.4413313567638397
epoch: 14, mdn loss: 0.9573923945426941, prediction loss: 0.44129812717437744
epoch: 15, mdn loss: 0.9572827219963074, prediction loss: 0.4412664771080017
epoch: 16, mdn loss: 0.957170844078064, prediction loss: 0.441234290599823
epoch: 17, mdn loss: 0.95705646276474, prediction loss: 0.4412000775337219
epoch: 18, mdn loss: 0.9569392800331116, prediction loss: 0.44116297364234924
epoch: 19, mdn loss: 0.9568193554878235, prediction loss: 0.44112494587898254
