E 270, N_steps 2168, FPS 544 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.88721,V 0.04296,Action 0.20207
E 280, N_steps 2248, FPS 544 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.85526,V 0.00127,Action 0.06298
E 290, N_steps 2328, FPS 543 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.62979,V 0.00184,Action -0.01865
E 300, N_steps 2408, FPS 544 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.57608,V 0.01621,Action 0.04197
E 310, N_steps 2488, FPS 255 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.58485,V 0.00097,Action 0.02520
E 320, N_steps 2568, FPS 259 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.67405,V 0.00127,Action 0.01392
E 330, N_steps 2648, FPS 263 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.43357,V 0.00196,Action 0.01682
E 340, N_steps 2728, FPS 267 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.62632,V 0.00235,Action 0.06131
E 350, N_steps 2808, FPS 271 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.80013,V 0.00228,Action -0.01565
E 360, N_steps 2888, FPS 275 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 1.05935,V 0.00380,Action 0.04906
E 370, N_steps 2968, FPS 279 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.88775,V 0.00623,Action -0.13257
E 380, N_steps 3048, FPS 282 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.67919,V 0.00214,Action 0.03236
E 390, N_steps 3128, FPS 286 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.90365,V 0.00064,Action 0.01252
E 400, N_steps 3208, FPS 289 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.88910,V 0.00116,Action 0.00820
E 410, N_steps 3288, FPS 209 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.92352,V 0.00052,Action 0.00438
E 420, N_steps 3368, FPS 212 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.85628,V 0.07104,Action 0.36147
E 430, N_steps 3448, FPS 215 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.93483,V 0.00502,Action -0.12405
E 440, N_steps 3528, FPS 218 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.58368,V 0.00347,Action -0.08152
E 450, N_steps 3608, FPS 221 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.59406,V 0.00733,Action 0.15098
E 460, N_steps 3688, FPS 224 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.56523,V 0.00101,Action 0.00071
E 470, N_steps 3768, FPS 227 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.80516,V 0.00229,Action 0.03516
E 480, N_steps 3848, FPS 230 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.72513,V 0.00193,Action -0.04724
E 490, N_steps 3928, FPS 232 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.71594,V 0.00097,Action 0.05352
E 500, N_steps 4008, FPS 235 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.62601,V 0.00128,Action 0.02892
