E 100, N_steps 10100, FPS 1410 mean/median -20.8/-21.0, min/max -21.0/-20.0 Entropy 0.79867,V 0.01242,Action 0.08374
E 110, N_steps 11100, FPS 932 mean/median -20.5/-21.0, min/max -21.0/-19.0 Entropy 0.88445,V 0.00824,Action 0.10462
E 120, N_steps 12100, FPS 958 mean/median -20.4/-21.0, min/max -21.0/-19.0 Entropy 0.94160,V 0.00249,Action 0.06107
E 130, N_steps 13100, FPS 983 mean/median -20.4/-21.0, min/max -21.0/-19.0 Entropy 0.98502,V 0.01985,Action -0.14073
E 140, N_steps 14100, FPS 1005 mean/median -20.4/-21.0, min/max -21.0/-19.0 Entropy 0.93836,V 0.00873,Action 0.10198
E 150, N_steps 15100, FPS 1024 mean/median -20.4/-21.0, min/max -21.0/-19.0 Entropy 0.94884,V 0.00429,Action 0.01984
E 160, N_steps 16100, FPS 1042 mean/median -20.4/-21.0, min/max -21.0/-19.0 Entropy 0.97264,V 0.00400,Action 0.08284
E 170, N_steps 17100, FPS 1059 mean/median -20.4/-21.0, min/max -21.0/-19.0 Entropy 1.00494,V 0.00682,Action 0.01899
E 180, N_steps 18100, FPS 1074 mean/median -20.5/-21.0, min/max -21.0/-19.0 Entropy 0.94057,V 0.00787,Action 0.08256
E 190, N_steps 19100, FPS 1087 mean/median -20.5/-21.0, min/max -21.0/-19.0 Entropy 1.04063,V 0.00888,Action 0.01001
E 200, N_steps 20100, FPS 1099 mean/median -20.3/-21.0, min/max -21.0/-19.0 Entropy 1.01309,V 0.00775,Action -0.07155
E 210, N_steps 21100, FPS 919 mean/median -20.1/-20.5, min/max -21.0/-19.0 Entropy 0.99311,V 0.00294,Action 0.05526
E 220, N_steps 22100, FPS 934 mean/median -20.0/-20.5, min/max -21.0/-18.0 Entropy 0.93272,V 0.00163,Action -0.00265
E 230, N_steps 23100, FPS 948 mean/median -20.0/-20.5, min/max -21.0/-18.0 Entropy 0.99575,V 0.00299,Action -0.03912
E 240, N_steps 24100, FPS 961 mean/median -20.0/-20.5, min/max -21.0/-18.0 Entropy 0.92329,V 0.01089,Action 0.10448
E 250, N_steps 25100, FPS 972 mean/median -20.0/-20.5, min/max -21.0/-18.0 Entropy 0.90083,V 0.00151,Action 0.04572
E 260, N_steps 26100, FPS 985 mean/median -20.0/-20.5, min/max -21.0/-18.0 Entropy 0.95784,V 0.00400,Action 0.03973
E 270, N_steps 27100, FPS 996 mean/median -20.0/-20.5, min/max -21.0/-18.0 Entropy 0.87569,V 0.00389,Action 0.05967
E 280, N_steps 28100, FPS 1007 mean/median -20.0/-20.5, min/max -21.0/-18.0 Entropy 0.91753,V 0.00507,Action -0.07714
E 290, N_steps 29100, FPS 1017 mean/median -20.2/-21.0, min/max -21.0/-18.0 Entropy 0.80041,V 0.11787,Action -0.24957
E 300, N_steps 30100, FPS 1027 mean/median -20.2/-21.0, min/max -21.0/-18.0 Entropy 0.80694,V 0.00560,Action 0.05589
E 310, N_steps 31100, FPS 904 mean/median -20.2/-21.0, min/max -21.0/-18.0 Entropy 0.93868,V 0.01088,Action -0.00540
E 320, N_steps 32100, FPS 914 mean/median -20.1/-20.5, min/max -21.0/-18.0 Entropy 0.94813,V 0.01196,Action -0.06872
E 330, N_steps 33100, FPS 924 mean/median -20.2/-20.5, min/max -21.0/-18.0 Entropy 0.89599,V 0.00399,Action 0.00118
E 340, N_steps 34100, FPS 934 mean/median -20.3/-20.5, min/max -21.0/-19.0 Entropy 0.84943,V 0.00350,Action 0.04594
E 350, N_steps 35100, FPS 943 mean/median -20.5/-21.0, min/max -21.0/-19.0 Entropy 0.86113,V 0.02475,Action -0.12825
E 360, N_steps 36100, FPS 952 mean/median -20.5/-21.0, min/max -21.0/-19.0 Entropy 0.82210,V 0.02926,Action 0.08956
E 370, N_steps 37100, FPS 960 mean/median -20.2/-20.5, min/max -21.0/-18.0 Entropy 0.88435,V 0.00248,Action 0.06204
E 380, N_steps 38100, FPS 968 mean/median -20.2/-20.5, min/max -21.0/-18.0 Entropy 0.96614,V 0.00290,Action 0.01178
E 390, N_steps 39100, FPS 976 mean/median -20.2/-20.5, min/max -21.0/-18.0 Entropy 0.92586,V 0.02732,Action 0.07673
E 400, N_steps 40100, FPS 983 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.94650,V 0.05303,Action -0.08671
E 410, N_steps 41100, FPS 907 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.93397,V 0.00617,Action -0.05725
E 420, N_steps 42100, FPS 915 mean/median -19.9/-20.0, min/max -21.0/-18.0 Entropy 0.96102,V 0.01766,Action 0.00635
E 430, N_steps 43100, FPS 922 mean/median -19.9/-20.0, min/max -21.0/-18.0 Entropy 0.90828,V 0.00236,Action -0.00459
E 440, N_steps 44100, FPS 930 mean/median -19.9/-20.0, min/max -21.0/-18.0 Entropy 0.92827,V 0.00372,Action 0.03820
E 450, N_steps 45100, FPS 937 mean/median -19.9/-20.0, min/max -21.0/-18.0 Entropy 0.88314,V 0.07086,Action -0.06172
E 460, N_steps 46100, FPS 943 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.91005,V 0.04053,Action -0.21604
E 470, N_steps 47100, FPS 950 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.95268,V 0.01766,Action -0.02116
E 480, N_steps 48100, FPS 957 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.86226,V 0.00504,Action 0.09708
E 490, N_steps 49100, FPS 963 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.99325,V 0.00880,Action -0.11172
E 500, N_steps 50100, FPS 969 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 0.96592,V 0.01989,Action -0.03838
E 510, N_steps 51100, FPS 908 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.93968,V 0.00556,Action -0.01151
E 520, N_steps 52100, FPS 914 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.79231,V 0.00998,Action -0.02210
E 530, N_steps 53100, FPS 920 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.89650,V 0.00782,Action 0.02226
E 540, N_steps 54100, FPS 926 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.95747,V 0.00705,Action 0.00527
E 550, N_steps 55100, FPS 932 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.97619,V 0.00654,Action 0.01953
E 560, N_steps 56100, FPS 937 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.98395,V 0.00363,Action -0.02007
