E 90, N_steps 9100, FPS 1427 mean/median -20.8/-21.0, min/max -21.0/-20.0 Entropy 0.96003,V 0.03172,Action -0.02114
E 100, N_steps 10100, FPS 1426 mean/median -20.9/-21.0, min/max -21.0/-20.0 Entropy 0.97782,V 0.01804,Action -0.06103
E 110, N_steps 11100, FPS 958 mean/median -20.8/-21.0, min/max -21.0/-20.0 Entropy 1.00912,V 0.01693,Action 0.03062
E 120, N_steps 12100, FPS 984 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.98519,V 0.01188,Action -0.02703
E 130, N_steps 13100, FPS 1008 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.96915,V 0.02834,Action -0.13833
E 140, N_steps 14100, FPS 1030 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.93750,V 0.02550,Action -0.11601
E 150, N_steps 15100, FPS 1050 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.96435,V 0.01210,Action 0.12904
E 160, N_steps 16100, FPS 1068 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.98536,V 0.00632,Action -0.01451
E 170, N_steps 17100, FPS 1083 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 1.03264,V 0.00135,Action 0.01900
E 180, N_steps 18100, FPS 1098 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 0.95452,V 0.00768,Action -0.03798
E 190, N_steps 19100, FPS 1111 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.90665,V 0.03893,Action -0.14972
E 200, N_steps 20100, FPS 1122 mean/median -20.3/-20.0, min/max -21.0/-20.0 Entropy 0.93186,V 0.00307,Action 0.03419
E 210, N_steps 21100, FPS 940 mean/median -20.3/-20.0, min/max -21.0/-19.0 Entropy 0.94171,V 0.06311,Action -0.10431
E 220, N_steps 22100, FPS 955 mean/median -20.3/-20.0, min/max -21.0/-19.0 Entropy 0.81400,V 0.01396,Action 0.01523
E 230, N_steps 23100, FPS 969 mean/median -20.3/-20.0, min/max -21.0/-19.0 Entropy 0.91456,V 0.01931,Action 0.00935
