E 120, N_steps 12100, FPS 1284 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.87942,V 0.00551,Action 0.00952
E 130, N_steps 13100, FPS 1269 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 1.02472,V 0.00418,Action 0.05561
E 140, N_steps 14100, FPS 1256 mean/median -20.4/-20.0, min/max -21.0/-20.0 Entropy 1.01676,V 0.00710,Action 0.08086
E 150, N_steps 15100, FPS 1252 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.90499,V 0.01164,Action -0.04711
E 160, N_steps 16100, FPS 1252 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.92438,V 0.00656,Action -0.08801
E 170, N_steps 17100, FPS 1253 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.96706,V 0.00562,Action 0.01194
E 180, N_steps 18100, FPS 1257 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.97663,V 0.00544,Action 0.09296
E 190, N_steps 19100, FPS 1257 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.97752,V 0.00171,Action 0.02879
E 200, N_steps 20100, FPS 1255 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.99697,V 0.00162,Action -0.01536
E 210, N_steps 21100, FPS 956 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.94185,V 0.00079,Action 0.01057
E 220, N_steps 22100, FPS 962 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 1.01276,V 0.00072,Action 0.01211
E 230, N_steps 23100, FPS 960 mean/median -19.9/-20.0, min/max -21.0/-18.0 Entropy 0.89405,V 0.00478,Action 0.03116
E 240, N_steps 24100, FPS 955 mean/median -20.0/-20.5, min/max -21.0/-18.0 Entropy 0.85618,V 0.04070,Action -0.06184
E 250, N_steps 25100, FPS 950 mean/median -20.1/-21.0, min/max -21.0/-18.0 Entropy 0.97195,V 0.01997,Action -0.08289
E 260, N_steps 26100, FPS 955 mean/median -20.1/-21.0, min/max -21.0/-18.0 Entropy 0.96245,V 0.01496,Action 0.15106
E 270, N_steps 27100, FPS 961 mean/median -20.3/-21.0, min/max -21.0/-18.0 Entropy 0.84196,V 0.00760,Action 0.00960
E 280, N_steps 28100, FPS 966 mean/median -20.3/-21.0, min/max -21.0/-18.0 Entropy 0.96193,V 0.00291,Action 0.02670
E 290, N_steps 29100, FPS 974 mean/median -20.5/-21.0, min/max -21.0/-18.0 Entropy 1.01915,V 0.00786,Action 0.04456
E 300, N_steps 30100, FPS 981 mean/median -20.5/-21.0, min/max -21.0/-18.0 Entropy 1.04465,V 0.00511,Action 0.10686
E 310, N_steps 31100, FPS 845 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 1.04019,V 0.00157,Action 0.03064
E 320, N_steps 32100, FPS 856 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.99168,V 0.02155,Action -0.12326
E 330, N_steps 33100, FPS 864 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.95383,V 0.00352,Action 0.04954
E 340, N_steps 34100, FPS 870 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.98406,V 0.08482,Action -0.22840
E 350, N_steps 35100, FPS 877 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 0.99578,V 0.01019,Action 0.05331
E 360, N_steps 36100, FPS 885 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 0.92520,V 0.00443,Action 0.03529
E 370, N_steps 37100, FPS 892 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 0.96295,V 0.00283,Action -0.00503
E 380, N_steps 38100, FPS 898 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.93322,V 0.00698,Action -0.01457
E 390, N_steps 39100, FPS 905 mean/median -20.4/-20.0, min/max -21.0/-20.0 Entropy 0.93143,V 0.00286,Action 0.05365
E 400, N_steps 40100, FPS 911 mean/median -20.4/-20.0, min/max -21.0/-20.0 Entropy 0.95435,V 0.00066,Action 0.02357
E 410, N_steps 41100, FPS 827 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 1.00794,V 0.00100,Action 0.00157
E 420, N_steps 42100, FPS 831 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.92796,V 0.00159,Action 0.02543
E 430, N_steps 43100, FPS 833 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.98897,V 0.00260,Action -0.01929
E 440, N_steps 44100, FPS 834 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 0.98570,V 0.00592,Action 0.09563
E 450, N_steps 45100, FPS 837 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 0.93801,V 0.00335,Action -0.02797
E 460, N_steps 46100, FPS 841 mean/median -20.3/-21.0, min/max -21.0/-17.0 Entropy 0.96974,V 0.00449,Action 0.06301
E 470, N_steps 47100, FPS 846 mean/median -20.2/-20.5, min/max -21.0/-17.0 Entropy 0.99106,V 0.00197,Action -0.03240
E 480, N_steps 48100, FPS 850 mean/median -20.3/-21.0, min/max -21.0/-17.0 Entropy 0.98256,V 0.00444,Action -0.05007
E 490, N_steps 49100, FPS 855 mean/median -20.2/-20.5, min/max -21.0/-17.0 Entropy 0.99526,V 0.01447,Action 0.05771
E 500, N_steps 50100, FPS 861 mean/median -20.2/-20.5, min/max -21.0/-17.0 Entropy 1.00580,V 0.00085,Action -0.01912
E 510, N_steps 51100, FPS 798 mean/median -20.3/-21.0, min/max -21.0/-17.0 Entropy 0.98228,V 0.00334,Action 0.02046
E 520, N_steps 52100, FPS 805 mean/median -20.3/-21.0, min/max -21.0/-17.0 Entropy 1.00801,V 0.00532,Action 0.05601
E 530, N_steps 53100, FPS 809 mean/median -20.1/-20.5, min/max -21.0/-17.0 Entropy 0.98194,V 0.00460,Action -0.10625
E 540, N_steps 54100, FPS 814 mean/median -20.1/-20.5, min/max -21.0/-17.0 Entropy 1.02755,V 0.02745,Action -0.01241
E 550, N_steps 55100, FPS 819 mean/median -20.1/-20.5, min/max -21.0/-17.0 Entropy 0.98217,V 0.00183,Action -0.00781
E 560, N_steps 56100, FPS 824 mean/median -20.1/-20.5, min/max -21.0/-17.0 Entropy 0.92061,V 0.00459,Action 0.01170
E 570, N_steps 57100, FPS 829 mean/median -20.1/-20.5, min/max -21.0/-17.0 Entropy 0.98373,V 0.00664,Action 0.08138
E 580, N_steps 58100, FPS 834 mean/median -20.1/-20.5, min/max -21.0/-17.0 Entropy 0.92245,V 0.01545,Action 0.07861
E 590, N_steps 59100, FPS 839 mean/median -20.0/-20.0, min/max -21.0/-17.0 Entropy 0.94766,V 0.00067,Action -0.01098
E 600, N_steps 60100, FPS 844 mean/median -20.3/-20.0, min/max -21.0/-19.0 Entropy 0.90668,V 0.01594,Action -0.07815
E 610, N_steps 61100, FPS 789 mean/median -20.3/-20.0, min/max -21.0/-19.0 Entropy 0.95521,V 0.00539,Action 0.01544
E 620, N_steps 62100, FPS 791 mean/median -20.1/-20.0, min/max -21.0/-18.0 Entropy 0.90538,V 0.00258,Action 0.02519
E 630, N_steps 63100, FPS 792 mean/median -20.1/-20.0, min/max -21.0/-18.0 Entropy 1.02258,V 0.00232,Action 0.00161
E 640, N_steps 64100, FPS 794 mean/median -20.1/-20.0, min/max -21.0/-18.0 Entropy 0.97053,V 0.00356,Action 0.00682
E 650, N_steps 65100, FPS 797 mean/median -20.1/-20.0, min/max -21.0/-18.0 Entropy 0.95553,V 0.00937,Action -0.09594
