E 200, N_steps 20100, FPS 1364 mean/median -24.3/-22.3, min/max -32.1/-21.0 Entropy 1.53571,V 0.01893,Action -0.04267
E 400, N_steps 40100, FPS 1204 mean/median -20.7/-20.8, min/max -22.5/-18.0 Entropy 1.54231,V 0.00246,Action 0.00748
E 600, N_steps 60100, FPS 1160 mean/median -22.3/-22.6, min/max -22.6/-20.4 Entropy 1.53186,V 0.00208,Action 0.07358
E 800, N_steps 80100, FPS 1139 mean/median -21.8/-21.6, min/max -22.7/-20.5 Entropy 1.58181,V 0.00549,Action -0.02828
E 1000, N_steps 100100, FPS 1125 mean/median -20.7/-20.2, min/max -22.3/-19.1 Entropy 1.55968,V 0.00779,Action 0.14877
E 1200, N_steps 120100, FPS 1116 mean/median -20.8/-21.4, min/max -22.4/-18.1 Entropy 1.48803,V 0.02236,Action 0.10629
E 1400, N_steps 140100, FPS 1110 mean/median -20.4/-20.3, min/max -22.5/-17.1 Entropy 1.41609,V 0.00340,Action 0.06438
E 1600, N_steps 160100, FPS 1103 mean/median -20.2/-21.4, min/max -22.4/-17.1 Entropy 1.50024,V 0.01225,Action 0.03157
E 1800, N_steps 180100, FPS 1098 mean/median -20.0/-20.1, min/max -22.2/-18.0 Entropy 1.49516,V 0.01015,Action 0.05006
E 2000, N_steps 200100, FPS 1096 mean/median -20.8/-21.2, min/max -22.3/-18.0 Entropy 1.56483,V 0.00647,Action -0.03472
E 2200, N_steps 220100, FPS 1094 mean/median -19.9/-19.6, min/max -22.3/-18.0 Entropy 1.55673,V 0.00267,Action -0.01290
E 2400, N_steps 240100, FPS 1091 mean/median -21.0/-20.7, min/max -22.3/-19.1 Entropy 1.49674,V 0.00618,Action 0.05103
E 2600, N_steps 260100, FPS 1090 mean/median -21.0/-20.8, min/max -22.4/-19.2 Entropy 1.42380,V 0.00270,Action 0.01398
E 2800, N_steps 280100, FPS 1088 mean/median -20.7/-20.8, min/max -22.4/-18.2 Entropy 1.43108,V 0.01658,Action 0.04285
E 3000, N_steps 300100, FPS 1084 mean/median -21.2/-20.9, min/max -22.5/-20.3 Entropy 1.37787,V 0.00981,Action 0.07570
E 3200, N_steps 320100, FPS 1081 mean/median -19.9/-19.3, min/max -21.5/-18.3 Entropy 1.36143,V 0.00314,Action 0.02791
E 3400, N_steps 340100, FPS 1080 mean/median -20.9/-20.5, min/max -22.6/-19.4 Entropy 1.47154,V 0.01420,Action 0.03011
E 3600, N_steps 360100, FPS 1077 mean/median -20.2/-20.5, min/max -21.6/-17.3 Entropy 1.33688,V 0.00786,Action 0.08093
E 3800, N_steps 380100, FPS 1076 mean/median -20.0/-19.5, min/max -21.6/-18.4 Entropy 1.42693,V 0.01038,Action -0.07947
E 4000, N_steps 400100, FPS 1075 mean/median -21.6/-21.7, min/max -22.8/-19.5 Entropy 1.38402,V 0.00866,Action -0.01659
E 4200, N_steps 420100, FPS 1074 mean/median -20.6/-20.7, min/max -22.9/-18.5 Entropy 1.41961,V 0.04287,Action -0.07957
E 4400, N_steps 440100, FPS 1072 mean/median -21.0/-20.8, min/max -21.9/-19.7 Entropy 1.40585,V 0.01297,Action -0.04825
E 4600, N_steps 460100, FPS 1072 mean/median -20.8/-20.8, min/max -21.9/-18.6 Entropy 1.42446,V 0.00616,Action 0.06211
E 4800, N_steps 480100, FPS 1071 mean/median -20.1/-20.3, min/max -21.9/-18.6 Entropy 1.43246,V 0.00444,Action 0.07462
E 5000, N_steps 500100, FPS 1069 mean/median -21.4/-20.9, min/max -23.1/-19.8 Entropy 1.27297,V 0.01150,Action -0.05695
E 5200, N_steps 520100, FPS 1070 mean/median -20.6/-19.8, min/max -23.0/-19.7 Entropy 1.34307,V 0.05081,Action -0.15447
E 5400, N_steps 540100, FPS 1069 mean/median -20.5/-20.9, min/max -22.0/-17.6 Entropy 1.34885,V 0.00447,Action 0.02595
E 5600, N_steps 560100, FPS 1069 mean/median -21.4/-21.9, min/max -23.0/-18.7 Entropy 1.43955,V 0.04644,Action -0.02931
E 5800, N_steps 580100, FPS 1068 mean/median -22.0/-21.9, min/max -23.0/-18.6 Entropy 1.40001,V 0.01655,Action 0.06971
E 6000, N_steps 600100, FPS 1067 mean/median -21.6/-22.4, min/max -23.0/-17.5 Entropy 1.44687,V 0.00366,Action -0.01806
E 6200, N_steps 620100, FPS 1066 mean/median -20.8/-20.8, min/max -23.0/-18.6 Entropy 1.41190,V 0.00613,Action 0.02645
E 6400, N_steps 640100, FPS 1065 mean/median -21.0/-21.9, min/max -21.9/-17.5 Entropy 1.35171,V 0.02354,Action -0.01753
E 6600, N_steps 660100, FPS 1065 mean/median -21.0/-20.8, min/max -23.0/-18.6 Entropy 1.41992,V 0.03088,Action -0.06220
E 6800, N_steps 680100, FPS 1064 mean/median -19.6/-19.7, min/max -21.9/-16.4 Entropy 1.26388,V 0.02090,Action 0.06145
E 7000, N_steps 700100, FPS 1064 mean/median -19.4/-19.2, min/max -23.0/-15.3 Entropy 1.33769,V 0.07204,Action -0.29040
E 7200, N_steps 720100, FPS 1063 mean/median -20.6/-20.8, min/max -23.1/-17.6 Entropy 1.28416,V 0.05960,Action -0.04814
E 7400, N_steps 740100, FPS 1064 mean/median -20.7/-20.9, min/max -23.1/-18.7 Entropy 1.27668,V 0.02728,Action -0.07316
E 7600, N_steps 760100, FPS 1063 mean/median -20.7/-21.0, min/max -23.2/-18.7 Entropy 1.31994,V 0.03942,Action -0.15561
E 7800, N_steps 780100, FPS 1062 mean/median -21.2/-21.5, min/max -23.2/-18.8 Entropy 1.25953,V 0.03936,Action -0.10153
E 8000, N_steps 800100, FPS 1061 mean/median -19.1/-18.8, min/max -23.2/-15.5 Entropy 1.36126,V 0.02608,Action 0.06423
E 8200, N_steps 820100, FPS 1060 mean/median -20.1/-19.9, min/max -22.1/-17.7 Entropy 1.18876,V 0.02738,Action -0.05385
E 8400, N_steps 840100, FPS 1060 mean/median -20.4/-20.5, min/max -23.3/-16.6 Entropy 1.27440,V 0.01062,Action 0.12387
E 8600, N_steps 860100, FPS 1060 mean/median -19.7/-19.9, min/max -21.1/-17.7 Entropy 1.38830,V 0.01572,Action 0.02577
E 8800, N_steps 880100, FPS 1060 mean/median -20.7/-21.1, min/max -23.3/-16.6 Entropy 1.27219,V 0.01689,Action 0.10783
E 9000, N_steps 900100, FPS 1059 mean/median -19.5/-19.4, min/max -22.2/-17.8 Entropy 1.25965,V 0.01448,Action 0.13856
