E 200, N_steps 51456, FPS 1009 mean/median -21.8/-21.5, min/max -22.6/-21.5 Entropy 0.59960,V 0.02059,Action -0.01158
E 400, N_steps 102656, FPS 947 mean/median -21.2/-21.2, min/max -22.9/-19.4 Entropy 0.67071,V 0.00723,Action -0.01621
E 600, N_steps 153856, FPS 929 mean/median -19.1/-20.2, min/max -21.5/-13.9 Entropy 0.63128,V 0.06844,Action -0.02535
E 800, N_steps 205056, FPS 917 mean/median -17.2/-16.9, min/max -20.6/-13.3 Entropy 0.72273,V 0.00855,Action -0.03411
E 1000, N_steps 256256, FPS 907 mean/median -17.1/-17.1, min/max -19.2/-16.1 Entropy 0.65945,V 0.00600,Action -0.01890
E 1200, N_steps 307456, FPS 900 mean/median -16.9/-17.3, min/max -19.4/-14.2 Entropy 0.63251,V 0.00601,Action -0.03029
E 1400, N_steps 358656, FPS 894 mean/median -17.7/-17.6, min/max -21.8/-12.4 Entropy 0.58242,V 0.00854,Action -0.03204
E 1600, N_steps 409856, FPS 889 mean/median -18.2/-18.3, min/max -22.1/-15.7 Entropy 0.55941,V 0.01511,Action -0.02549
E 1800, N_steps 461056, FPS 885 mean/median -17.6/-17.1, min/max -19.2/-16.0 Entropy 0.55836,V 0.00602,Action -0.02505
E 2000, N_steps 512256, FPS 884 mean/median -18.0/-18.8, min/max -21.4/-13.9 Entropy 0.46147,V 0.01247,Action -0.02104
E 2200, N_steps 563456, FPS 879 mean/median -18.7/-18.4, min/max -21.7/-16.3 Entropy 0.69740,V 0.01137,Action -0.02681
E 2400, N_steps 614656, FPS 879 mean/median -17.0/-17.5, min/max -20.8/-13.2 Entropy 0.47744,V 0.01033,Action -0.02553
E 2600, N_steps 665856, FPS 876 mean/median -18.8/-18.8, min/max -22.1/-14.4 Entropy 0.55494,V 0.00347,Action -0.04599
E 2800, N_steps 717056, FPS 874 mean/median -18.6/-19.0, min/max -22.3/-14.5 Entropy 0.47606,V 0.01568,Action -0.02714
E 3000, N_steps 768256, FPS 874 mean/median -19.9/-20.2, min/max -22.5/-14.6 Entropy 0.49158,V 0.01143,Action -0.03452
E 3200, N_steps 819456, FPS 874 mean/median -20.2/-20.4, min/max -22.7/-18.1 Entropy 0.62520,V 0.02420,Action -0.03800
E 3400, N_steps 870656, FPS 873 mean/median -17.2/-16.5, min/max -19.4/-15.9 Entropy 0.52277,V 0.00651,Action -0.04479
E 3600, N_steps 921856, FPS 872 mean/median -18.7/-18.3, min/max -21.8/-16.0 Entropy 0.49307,V 0.02083,Action -0.03774
E 3800, N_steps 973056, FPS 872 mean/median -18.5/-18.4, min/max -21.9/-15.0 Entropy 0.52210,V 0.02613,Action -0.03544
E 4000, N_steps 1024256, FPS 871 mean/median -18.8/-19.0, min/max -24.1/-13.8 Entropy 0.45205,V 0.01137,Action -0.02314
E 4200, N_steps 1075456, FPS 870 mean/median -15.7/-16.2, min/max -18.5/-12.7 Entropy 0.54070,V 0.01303,Action -0.03668
E 4400, N_steps 1126656, FPS 869 mean/median -18.5/-17.9, min/max -24.3/-13.9 Entropy 0.48787,V 0.04414,Action -0.03115
E 4600, N_steps 1177856, FPS 868 mean/median -18.2/-18.0, min/max -22.1/-15.1 Entropy 0.49372,V 0.01474,Action -0.03080
E 4800, N_steps 1229056, FPS 868 mean/median -19.8/-19.3, min/max -23.4/-16.4 Entropy 0.48528,V 0.03484,Action -0.03001
E 5000, N_steps 1280256, FPS 868 mean/median -20.6/-20.6, min/max -23.5/-17.6 Entropy 0.47009,V 0.00629,Action -0.02572
E 5200, N_steps 1331456, FPS 868 mean/median -18.9/-18.9, min/max -22.4/-16.5 Entropy 0.45929,V 0.01544,Action -0.02898
E 5400, N_steps 1382656, FPS 867 mean/median -16.6/-16.6, min/max -21.3/-13.0 Entropy 0.35964,V 0.01685,Action -0.03964
E 5600, N_steps 1433856, FPS 867 mean/median -19.6/-20.3, min/max -23.8/-15.5 Entropy 0.53579,V 0.01537,Action -0.04055
E 5800, N_steps 1485056, FPS 866 mean/median -21.0/-20.4, min/max -25.2/-16.8 Entropy 0.48330,V 0.00798,Action -0.01839
E 6000, N_steps 1536256, FPS 866 mean/median -21.6/-22.3, min/max -25.3/-16.9 Entropy 0.50034,V 0.01851,Action -0.03575
E 6200, N_steps 1587456, FPS 866 mean/median -19.3/-19.3, min/max -22.9/-15.7 Entropy 0.40461,V 0.01086,Action -0.02580
E 6400, N_steps 1638656, FPS 865 mean/median -18.7/-17.6, min/max -23.0/-14.5 Entropy 0.41430,V 0.01125,Action -0.03703
E 6600, N_steps 1689856, FPS 864 mean/median -19.7/-19.4, min/max -24.3/-15.8 Entropy 0.35495,V 0.01126,Action -0.01870
E 6800, N_steps 1741056, FPS 864 mean/median -19.8/-19.5, min/max -24.3/-15.8 Entropy 0.42559,V 0.01436,Action -0.02938
E 7000, N_steps 1792256, FPS 864 mean/median -19.7/-20.2, min/max -24.4/-14.7 Entropy 0.41058,V 0.00729,Action -0.03696
E 7200, N_steps 1843456, FPS 864 mean/median -19.5/-19.6, min/max -22.1/-15.9 Entropy 0.37712,V 0.01822,Action -0.02859
E 7400, N_steps 1894656, FPS 864 mean/median -16.7/-16.6, min/max -20.9/-13.5 Entropy 0.44366,V 0.00895,Action -0.02526
E 7600, N_steps 1945856, FPS 864 mean/median -19.3/-18.5, min/max -23.4/-16.0 Entropy 0.40813,V 0.01100,Action -0.02647
E 7800, N_steps 1997056, FPS 863 mean/median -18.4/-17.3, min/max -23.5/-14.8 Entropy 0.44358,V 0.00971,Action -0.02776
E 8000, N_steps 2048256, FPS 862 mean/median -20.6/-20.5, min/max -24.8/-18.6 Entropy 0.32937,V 0.02481,Action -0.03249
E 8200, N_steps 2099456, FPS 861 mean/median -20.3/-20.5, min/max -22.4/-17.4 Entropy 0.31198,V 0.01188,Action -0.02593
E 8400, N_steps 2150656, FPS 861 mean/median -18.5/-18.1, min/max -22.5/-15.0 Entropy 0.39256,V 0.01708,Action -0.02691
E 8600, N_steps 2201856, FPS 862 mean/median -20.9/-21.3, min/max -23.8/-17.5 Entropy 0.43416,V 0.01958,Action -0.02887
E 8800, N_steps 2253056, FPS 862 mean/median -20.8/-21.3, min/max -23.9/-13.8 Entropy 0.34985,V 0.01296,Action -0.03590
E 9000, N_steps 2304256, FPS 862 mean/median -20.3/-19.5, min/max -25.2/-17.6 Entropy 0.38015,V 0.01580,Action -0.03619
E 9200, N_steps 2355456, FPS 862 mean/median -21.1/-20.8, min/max -24.0/-17.7 Entropy 0.40925,V 0.02010,Action -0.02677
E 9400, N_steps 2406656, FPS 862 mean/median -17.6/-17.7, min/max -20.2/-15.2 Entropy 0.38526,V 0.01297,Action -0.02547
E 9600, N_steps 2457856, FPS 862 mean/median -19.0/-19.0, min/max -21.5/-16.5 Entropy 0.34854,V 0.05894,Action -0.03418
E 9800, N_steps 2509056, FPS 862 mean/median -19.6/-20.3, min/max -25.3/-13.9 Entropy 0.37696,V 0.03002,Action -0.02473
E 10000, N_steps 2560256, FPS 862 mean/median -18.8/-19.0, min/max -20.3/-16.5 Entropy 0.35438,V 0.03400,Action -0.02979
E 10200, N_steps 2611456, FPS 861 mean/median -18.6/-19.0, min/max -21.5/-16.5 Entropy 0.39310,V 0.00458,Action -0.03505
E 10400, N_steps 2662656, FPS 861 mean/median -19.1/-18.4, min/max -24.1/-14.0 Entropy 0.39347,V 0.01902,Action -0.03313
E 10600, N_steps 2713856, FPS 861 mean/median -16.5/-15.9, min/max -22.8/-14.0 Entropy 0.38726,V 0.00566,Action -0.02789
E 10800, N_steps 2765056, FPS 861 mean/median -21.8/-22.9, min/max -25.4/-16.5 Entropy 0.37211,V 0.01587,Action -0.03810
E 11000, N_steps 2816256, FPS 861 mean/median -19.8/-19.1, min/max -25.4/-16.5 Entropy 0.31001,V 0.00762,Action -0.02103
E 11200, N_steps 2867456, FPS 861 mean/median -19.8/-19.8, min/max -25.5/-15.3 Entropy 0.29598,V 0.03219,Action -0.01845
E 11400, N_steps 2918656, FPS 861 mean/median -21.3/-21.7, min/max -24.3/-17.9 Entropy 0.31527,V 0.01038,Action -0.02513
E 11600, N_steps 2969856, FPS 860 mean/median -18.9/-20.5, min/max -21.7/-14.1 Entropy 0.34878,V 0.02072,Action -0.03470
E 11800, N_steps 3021056, FPS 861 mean/median -19.8/-19.8, min/max -21.8/-17.9 Entropy 0.32838,V 0.03110,Action -0.03189
E 12000, N_steps 3072256, FPS 861 mean/median -21.0/-21.1, min/max -25.6/-16.7 Entropy 0.31603,V 0.02464,Action -0.02292
E 12200, N_steps 3123456, FPS 860 mean/median -20.6/-20.5, min/max -25.6/-17.9 Entropy 0.32866,V 0.07749,Action -0.02578
E 12400, N_steps 3174656, FPS 860 mean/median -17.4/-16.7, min/max -24.4/-14.1 Entropy 0.36824,V 0.02126,Action -0.03419
E 12600, N_steps 3225856, FPS 860 mean/median -22.1/-22.5, min/max -24.4/-19.2 Entropy 0.39962,V 0.02931,Action -0.02560
E 12800, N_steps 3277056, FPS 860 mean/median -22.7/-23.1, min/max -25.7/-18.0 Entropy 0.37058,V 0.02123,Action -0.03127
E 13000, N_steps 3328256, FPS 860 mean/median -19.4/-19.9, min/max -24.4/-14.1 Entropy 0.39693,V 0.00772,Action -0.03321
E 13200, N_steps 3379456, FPS 860 mean/median -20.3/-20.5, min/max -25.7/-14.1 Entropy 0.34315,V 0.01045,Action -0.02368
E 13400, N_steps 3430656, FPS 860 mean/median -23.1/-23.1, min/max -25.7/-19.3 Entropy 0.36524,V 0.01588,Action -0.02138
E 13600, N_steps 3481856, FPS 860 mean/median -21.6/-21.2, min/max -24.5/-18.0 Entropy 0.36875,V 0.02221,Action -0.02790
E 13800, N_steps 3533056, FPS 860 mean/median -19.2/-19.3, min/max -24.5/-14.2 Entropy 0.37822,V 0.00788,Action -0.03115
E 14000, N_steps 3584256, FPS 860 mean/median -21.0/-20.6, min/max -25.8/-18.1 Entropy 0.36257,V 0.05702,Action -0.02045
E 14200, N_steps 3635456, FPS 860 mean/median -19.0/-18.7, min/max -23.3/-14.2 Entropy 0.30745,V 0.01251,Action -0.02966
E 14400, N_steps 3686656, FPS 860 mean/median -20.6/-20.7, min/max -25.9/-15.5 Entropy 0.27976,V 0.01620,Action -0.02891
E 14600, N_steps 3737856, FPS 860 mean/median -21.7/-22.0, min/max -24.5/-19.4 Entropy 0.31901,V 0.03636,Action -0.02883
E 14800, N_steps 3789056, FPS 860 mean/median -20.1/-20.0, min/max -23.2/-18.1 Entropy 0.34635,V 0.01448,Action -0.03674
E 15000, N_steps 3840256, FPS 860 mean/median -20.5/-21.3, min/max -23.3/-15.5 Entropy 0.39186,V 0.00983,Action -0.03741
E 15200, N_steps 3891456, FPS 860 mean/median -21.6/-22.0, min/max -23.3/-18.1 Entropy 0.33243,V 0.02695,Action -0.02278
E 15400, N_steps 3942656, FPS 860 mean/median -18.5/-17.4, min/max -24.5/-14.2 Entropy 0.35764,V 0.01045,Action -0.02443
E 15600, N_steps 3993856, FPS 859 mean/median -17.6/-17.4, min/max -24.5/-14.2 Entropy 0.31265,V 0.00884,Action -0.02178
E 15800, N_steps 4045056, FPS 859 mean/median -19.5/-20.0, min/max -24.5/-14.2 Entropy 0.28393,V 0.03407,Action -0.03416
E 16000, N_steps 4096256, FPS 859 mean/median -18.7/-18.1, min/max -25.8/-14.2 Entropy 0.29728,V 0.01006,Action -0.02814
E 16200, N_steps 4147456, FPS 859 mean/median -18.6/-19.4, min/max -21.9/-14.2 Entropy 0.30193,V 0.01996,Action -0.01556
E 16400, N_steps 4198656, FPS 859 mean/median -19.8/-19.4, min/max -25.8/-14.2 Entropy 0.30839,V 0.01408,Action -0.01993
E 16600, N_steps 4249856, FPS 859 mean/median -21.1/-22.0, min/max -27.1/-14.2 Entropy 0.27664,V 0.02538,Action -0.01550
E 16800, N_steps 4301056, FPS 859 mean/median -21.5/-21.3, min/max -23.3/-18.1 Entropy 0.33962,V 0.01993,Action -0.02769
E 17000, N_steps 4352256, FPS 859 mean/median -20.3/-20.7, min/max -27.2/-16.8 Entropy 0.33292,V 0.02885,Action -0.02478
E 17200, N_steps 4403456, FPS 859 mean/median -19.0/-18.1, min/max -23.3/-16.8 Entropy 0.34267,V 0.04330,Action -0.02484
E 17400, N_steps 4454656, FPS 859 mean/median -20.4/-19.4, min/max -25.9/-16.8 Entropy 0.40215,V 0.00970,Action -0.03752
E 17600, N_steps 4505856, FPS 859 mean/median -23.6/-23.3, min/max -25.9/-20.7 Entropy 0.31239,V 0.02208,Action -0.03274
E 17800, N_steps 4557056, FPS 859 mean/median -20.8/-22.0, min/max -24.6/-18.1 Entropy 0.33456,V 0.01175,Action -0.03158
E 18000, N_steps 4608256, FPS 859 mean/median -20.6/-21.4, min/max -24.6/-16.9 Entropy 0.31924,V 0.02310,Action -0.02676
E 18200, N_steps 4659456, FPS 859 mean/median -20.0/-18.8, min/max -25.9/-16.9 Entropy 0.33916,V 0.00528,Action -0.02965
E 18400, N_steps 4710656, FPS 859 mean/median -18.4/-18.2, min/max -23.4/-14.3 Entropy 0.34889,V 0.01044,Action -0.02134
E 18600, N_steps 4761856, FPS 858 mean/median -20.0/-19.5, min/max -24.7/-16.9 Entropy 0.30108,V 0.02482,Action -0.03240
E 18800, N_steps 4813056, FPS 858 mean/median -18.2/-16.9, min/max -24.7/-14.3 Entropy 0.25377,V 0.00621,Action -0.02883
E 19000, N_steps 4864256, FPS 858 mean/median -17.5/-16.9, min/max -24.7/-14.3 Entropy 0.31954,V 0.05634,Action -0.03222
E 19200, N_steps 4915456, FPS 857 mean/median -20.0/-20.8, min/max -22.1/-15.6 Entropy 0.28372,V 0.01213,Action -0.02421
E 19400, N_steps 4966656, FPS 858 mean/median -19.8/-19.5, min/max -22.1/-16.9 Entropy 0.32523,V 0.01975,Action -0.03270
