E 200, N_steps 205824, FPS 2124 mean/median -20.8/-20.1, min/max -23.0/-19.5 Entropy 0.74055,V 0.02340,Action -0.02115
E 400, N_steps 410624, FPS 2045 mean/median -19.6/-19.9, min/max -22.3/-16.4 Entropy 0.67150,V 0.02947,Action -0.03010
E 600, N_steps 615424, FPS 2027 mean/median -15.9/-15.7, min/max -22.4/-11.2 Entropy 0.55424,V 0.03281,Action -0.02738
E 800, N_steps 820224, FPS 2015 mean/median -14.8/-14.5, min/max -19.3/-11.8 Entropy 0.60490,V 0.06359,Action -0.02625
E 1000, N_steps 1025024, FPS 2012 mean/median -12.5/-11.6, min/max -17.8/-10.5 Entropy 0.51846,V 0.03434,Action -0.03241
E 1200, N_steps 1229824, FPS 2005 mean/median -7.3/-11.3, min/max -14.4/20.6 Entropy 0.55706,V 0.06938,Action -0.02938
E 1400, N_steps 1434624, FPS 2003 mean/median -6.3/-8.8, min/max -11.4/14.6 Entropy 0.45444,V 0.03194,Action -0.02965
E 1600, N_steps 1639424, FPS 1991 mean/median 1.6/5.1, min/max -20.5/19.5 Entropy 0.43307,V 0.02790,Action -0.02581
E 1800, N_steps 1844224, FPS 1991 mean/median -17.5/-17.4, min/max -21.4/-12.3 Entropy 0.57475,V 0.02776,Action -0.03916
E 2000, N_steps 2049024, FPS 1991 mean/median -16.4/-16.7, min/max -19.9/-11.5 Entropy 0.57177,V 0.03506,Action -0.03953
E 2200, N_steps 2253824, FPS 1988 mean/median -11.2/-14.3, min/max -19.0/10.6 Entropy 0.48990,V 0.04521,Action -0.03373
E 2400, N_steps 2458624, FPS 1986 mean/median -17.2/-18.1, min/max -21.3/-9.6 Entropy 0.59444,V 0.02376,Action -0.03962
E 2600, N_steps 2663424, FPS 1984 mean/median -11.2/-14.0, min/max -21.5/3.2 Entropy 0.49689,V 0.02137,Action -0.03927
E 2800, N_steps 2868224, FPS 1980 mean/median -1.9/-1.6, min/max -17.1/9.6 Entropy 0.42644,V 0.05497,Action -0.02931
E 3000, N_steps 3073024, FPS 1978 mean/median -4.9/-6.9, min/max -16.9/11.6 Entropy 0.41999,V 0.02566,Action -0.03437
E 3200, N_steps 3277824, FPS 1977 mean/median -0.5/-1.6, min/max -19.9/22.0 Entropy 0.39983,V 0.05576,Action -0.03071
E 3400, N_steps 3482624, FPS 1977 mean/median 0.7/-1.0, min/max -18.8/16.7 Entropy 0.41619,V 0.05461,Action -0.02946
E 3600, N_steps 3687424, FPS 1976 mean/median -2.9/-5.7, min/max -15.7/18.8 Entropy 0.32888,V 0.03602,Action -0.02662
E 3800, N_steps 3892224, FPS 1974 mean/median -7.9/-12.4, min/max -19.7/10.4 Entropy 0.41216,V 0.01719,Action -0.02817
E 4000, N_steps 4097024, FPS 1973 mean/median 1.3/1.0, min/max -19.7/16.5 Entropy 0.41502,V 0.03442,Action -0.03298
E 4200, N_steps 4301824, FPS 1972 mean/median -5.8/-4.6, min/max -20.6/17.5 Entropy 0.35021,V 0.05622,Action -0.02658
E 4400, N_steps 4506624, FPS 1973 mean/median 4.5/7.2, min/max -16.4/21.5 Entropy 0.38280,V 0.02378,Action -0.02853
E 4600, N_steps 4711424, FPS 1971 mean/median 14.4/20.4, min/max -20.4/21.5 Entropy 0.38915,V 0.02487,Action -0.02161
E 4800, N_steps 4916224, FPS 1971 mean/median 5.0/12.7, min/max -18.3/21.4 Entropy 0.34095,V 0.01103,Action -0.03209
