E 220, N_steps 8840, FPS 185 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.08304,V 0.02238,Action -0.05473
E 230, N_steps 9240, FPS 186 mean/median -20.4/-20.0, min/max -21.0/-20.0 Entropy 2.11324,V 0.00164,Action 0.01099
E 240, N_steps 9640, FPS 185 mean/median -20.4/-20.0, min/max -21.0/-20.0 Entropy 1.99645,V 0.00302,Action 0.07643
E 250, N_steps 10040, FPS 185 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 2.11089,V 0.02272,Action 0.01044
E 260, N_steps 10440, FPS 185 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 2.16011,V 0.00087,Action 0.04589
E 270, N_steps 10840, FPS 185 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.13934,V 0.00955,Action 0.10572
E 280, N_steps 11240, FPS 185 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.12070,V 0.00128,Action 0.02872
E 290, N_steps 11640, FPS 185 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.12948,V 0.00397,Action 0.02692
E 300, N_steps 12040, FPS 185 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.11896,V 0.02677,Action -0.04843
E 310, N_steps 12440, FPS 175 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.08461,V 0.00367,Action -0.03093
E 320, N_steps 12840, FPS 176 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.09392,V 0.01479,Action 0.05449
E 330, N_steps 13240, FPS 176 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.09251,V 0.00218,Action 0.02582
E 340, N_steps 13640, FPS 176 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.07977,V 0.00264,Action 0.03974
E 350, N_steps 14040, FPS 176 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.01095,V 0.00845,Action -0.06275
E 360, N_steps 14440, FPS 177 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.01879,V 0.00076,Action 0.03645
E 370, N_steps 14840, FPS 177 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.02108,V 0.00495,Action 0.01723
E 380, N_steps 15240, FPS 177 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.11068,V 0.00060,Action 0.00733
E 390, N_steps 15640, FPS 177 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.03556,V 0.00712,Action 0.02787
E 400, N_steps 16040, FPS 177 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.03520,V 0.01300,Action -0.02753
E 410, N_steps 16440, FPS 170 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.05182,V 0.00118,Action 0.06466
E 420, N_steps 16840, FPS 171 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 2.08358,V 0.00572,Action -0.02999
E 430, N_steps 17240, FPS 171 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 2.07132,V 0.00043,Action 0.01398
E 440, N_steps 17640, FPS 171 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 2.03408,V 0.00143,Action 0.03204
E 450, N_steps 18040, FPS 172 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 2.13326,V 0.00257,Action 0.02706
E 460, N_steps 18440, FPS 172 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 2.00137,V 0.00405,Action -0.09807
E 470, N_steps 18840, FPS 172 mean/median -20.7/-21.0, min/max -21.0/-20.0 Entropy 2.07951,V 0.00690,Action 0.07445
E 480, N_steps 19240, FPS 172 mean/median -20.6/-21.0, min/max -21.0/-20.0 Entropy 2.04315,V 0.00404,Action 0.06737
E 490, N_steps 19640, FPS 173 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.09958,V 0.00033,Action -0.02141
E 500, N_steps 20040, FPS 173 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 1.99370,V 0.00167,Action 0.00682
E 510, N_steps 20440, FPS 167 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 2.08170,V 0.00072,Action -0.00964
E 520, N_steps 20840, FPS 168 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 2.06042,V 0.00269,Action 0.05238
E 530, N_steps 21240, FPS 168 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 2.01572,V 0.00563,Action -0.00261
E 540, N_steps 21640, FPS 168 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 2.10426,V 0.00078,Action -0.03467
E 550, N_steps 22040, FPS 169 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 2.09641,V 0.01622,Action 0.00899
E 560, N_steps 22440, FPS 169 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 2.09198,V 0.00156,Action 0.01697
E 570, N_steps 22840, FPS 169 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 2.11467,V 0.00323,Action 0.04795
E 580, N_steps 23240, FPS 170 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 2.12245,V 0.00206,Action -0.00501
E 590, N_steps 23640, FPS 170 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 1.97263,V 0.00308,Action 0.02070
E 600, N_steps 24040, FPS 170 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 2.08129,V 0.00125,Action 0.02930
E 610, N_steps 24440, FPS 165 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 2.09643,V 0.04278,Action -0.16480
