E 100, N_steps 10100, FPS 1427 mean/median -32.6/-33.1, min/max -33.7/-30.5 Entropy 0.97247,V 0.01556,Action 0.16436
E 200, N_steps 20100, FPS 1124 mean/median -27.4/-29.4, min/max -32.0/-21.5 Entropy 0.91645,V 0.02260,Action 0.20046
E 300, N_steps 30100, FPS 1047 mean/median -22.9/-22.5, min/max -23.7/-22.3 Entropy 0.92116,V 0.00722,Action -0.05752
E 400, N_steps 40100, FPS 1010 mean/median -22.6/-22.9, min/max -23.4/-21.1 Entropy 0.80813,V 0.04573,Action -0.16673
E 500, N_steps 50100, FPS 996 mean/median -22.8/-23.1, min/max -23.3/-21.1 Entropy 0.80535,V 0.01567,Action -0.03267
E 600, N_steps 60100, FPS 979 mean/median -21.4/-22.0, min/max -23.1/-19.8 Entropy 0.88486,V 0.00260,Action 0.04863
E 700, N_steps 70100, FPS 964 mean/median -22.9/-23.3, min/max -23.5/-22.2 Entropy 0.84929,V 0.00768,Action 0.03965
E 800, N_steps 80100, FPS 959 mean/median -22.7/-22.9, min/max -23.5/-21.2 Entropy 0.96388,V 0.00358,Action -0.02583
E 900, N_steps 90100, FPS 956 mean/median -22.2/-22.7, min/max -23.4/-19.9 Entropy 0.84608,V 0.01927,Action -0.06013
E 1000, N_steps 100100, FPS 950 mean/median -22.1/-22.1, min/max -23.2/-19.9 Entropy 0.88819,V 0.01271,Action -0.13654
E 1100, N_steps 110100, FPS 947 mean/median -22.6/-22.6, min/max -23.2/-22.0 Entropy 0.95385,V 0.00290,Action 0.04136
E 1200, N_steps 120100, FPS 945 mean/median -22.6/-23.1, min/max -23.2/-20.9 Entropy 0.93769,V 0.00700,Action 0.02018
E 1300, N_steps 130100, FPS 942 mean/median -22.2/-22.0, min/max -23.1/-20.9 Entropy 0.95645,V 0.00294,Action -0.05578
E 1400, N_steps 140100, FPS 939 mean/median -22.3/-22.6, min/max -23.2/-20.9 Entropy 0.94338,V 0.01161,Action 0.05282
E 1500, N_steps 150100, FPS 937 mean/median -21.9/-22.1, min/max -23.2/-21.0 Entropy 0.86136,V 0.00471,Action 0.05944
E 1600, N_steps 160100, FPS 933 mean/median -21.8/-22.2, min/max -23.3/-19.9 Entropy 0.88190,V 0.00528,Action -0.00439
E 1700, N_steps 170100, FPS 929 mean/median -22.4/-22.2, min/max -23.3/-21.1 Entropy 0.78638,V 0.01063,Action -0.03836
E 1800, N_steps 180100, FPS 926 mean/median -22.2/-22.2, min/max -23.4/-20.0 Entropy 0.88900,V 0.00570,Action -0.04734
E 1900, N_steps 190100, FPS 925 mean/median -20.9/-21.1, min/max -22.2/-18.9 Entropy 0.90300,V 0.01230,Action -0.04796
E 2000, N_steps 200100, FPS 921 mean/median -21.9/-21.7, min/max -23.5/-19.0 Entropy 0.89447,V 0.01040,Action -0.07348
E 2100, N_steps 210100, FPS 917 mean/median -22.1/-22.3, min/max -23.4/-21.2 Entropy 0.81024,V 0.02651,Action -0.08183
E 2200, N_steps 220100, FPS 914 mean/median -20.9/-21.1, min/max -23.4/-17.8 Entropy 0.89488,V 0.00820,Action 0.07395
E 2300, N_steps 230100, FPS 913 mean/median -20.8/-21.1, min/max -23.4/-17.8 Entropy 0.86704,V 0.00994,Action 0.09199
E 2400, N_steps 240100, FPS 911 mean/median -21.1/-21.1, min/max -22.2/-18.9 Entropy 0.72641,V 0.01678,Action -0.07561
E 2500, N_steps 250100, FPS 908 mean/median -21.2/-21.7, min/max -23.3/-18.9 Entropy 0.85194,V 0.01972,Action -0.01012
E 2600, N_steps 260100, FPS 906 mean/median -19.5/-19.3, min/max -22.1/-17.7 Entropy 0.88656,V 0.01283,Action 0.12988
E 2700, N_steps 270100, FPS 904 mean/median -21.4/-21.4, min/max -23.1/-18.7 Entropy 0.86778,V 0.00325,Action 0.01831
E 2800, N_steps 280100, FPS 904 mean/median -21.9/-22.0, min/max -23.1/-19.8 Entropy 0.86686,V 0.02789,Action -0.09544
