E 200, N_steps 51456, FPS 814 mean/median -22.2/-22.3, min/max -23.0/-20.8 Entropy 0.85719,V 0.03629,Action -0.02277
E 400, N_steps 102656, FPS 776 mean/median -22.0/-22.0, min/max -22.6/-21.5 Entropy 0.89151,V 0.01224,Action -0.04990
E 600, N_steps 153856, FPS 763 mean/median -21.6/-21.5, min/max -22.6/-20.4 Entropy 0.89840,V 0.02077,Action -0.05182
E 800, N_steps 205056, FPS 757 mean/median -20.9/-21.5, min/max -22.6/-17.2 Entropy 0.82797,V 0.01405,Action -0.05558
E 1000, N_steps 256256, FPS 753 mean/median -22.1/-22.3, min/max -22.9/-20.7 Entropy 0.83066,V 0.04134,Action -0.05135
E 1200, N_steps 307456, FPS 750 mean/median -22.0/-22.4, min/max -23.0/-19.7 Entropy 0.83758,V 0.05074,Action -0.06729
E 1400, N_steps 358656, FPS 749 mean/median -22.4/-22.4, min/max -23.0/-21.9 Entropy 0.81111,V 0.02573,Action -0.03878
E 1600, N_steps 409856, FPS 747 mean/median -22.3/-22.4, min/max -23.0/-20.8 Entropy 0.74005,V 0.01232,Action -0.05055
E 1800, N_steps 461056, FPS 746 mean/median -22.5/-23.0, min/max -23.0/-20.8 Entropy 0.79751,V 0.01717,Action -0.05300
E 2000, N_steps 512256, FPS 745 mean/median -21.9/-21.9, min/max -23.0/-20.8 Entropy 0.75509,V 0.04329,Action -0.04842
E 2200, N_steps 563456, FPS 744 mean/median -21.5/-21.3, min/max -23.0/-19.7 Entropy 0.76987,V 0.02909,Action -0.05313
E 2400, N_steps 614656, FPS 743 mean/median -21.1/-21.3, min/max -23.0/-16.4 Entropy 0.78962,V 0.04279,Action -0.06132
E 2600, N_steps 665856, FPS 743 mean/median -21.7/-21.9, min/max -23.0/-19.7 Entropy 0.78926,V 0.03482,Action -0.05120
E 2800, N_steps 717056, FPS 742 mean/median -21.9/-22.0, min/max -23.1/-19.8 Entropy 0.76776,V 0.02949,Action -0.04869
E 3000, N_steps 768256, FPS 742 mean/median -22.2/-22.6, min/max -23.1/-19.8 Entropy 0.78001,V 0.01415,Action -0.05757
E 3200, N_steps 819456, FPS 742 mean/median -21.7/-22.1, min/max -23.2/-19.9 Entropy 0.78144,V 0.02821,Action -0.04820
E 3400, N_steps 870656, FPS 741 mean/median -21.8/-22.1, min/max -23.2/-18.8 Entropy 0.78117,V 0.03280,Action -0.05392
E 3600, N_steps 921856, FPS 741 mean/median -22.2/-22.1, min/max -23.2/-21.0 Entropy 0.76051,V 0.03606,Action -0.05534
E 3800, N_steps 973056, FPS 741 mean/median -22.4/-22.1, min/max -23.3/-21.0 Entropy 0.72999,V 0.02009,Action -0.05446
E 4000, N_steps 1024256, FPS 740 mean/median -22.2/-22.2, min/max -23.3/-20.0 Entropy 0.74910,V 0.02686,Action -0.04112
E 4200, N_steps 1075456, FPS 740 mean/median -22.8/-22.8, min/max -23.3/-22.2 Entropy 0.75921,V 0.04597,Action -0.04302
E 4400, N_steps 1126656, FPS 739 mean/median -22.8/-22.8, min/max -23.3/-22.2 Entropy 0.73352,V 0.08282,Action -0.06029
E 4600, N_steps 1177856, FPS 739 mean/median -22.5/-22.2, min/max -23.4/-21.1 Entropy 0.75269,V 0.00601,Action -0.06408
E 4800, N_steps 1229056, FPS 739 mean/median -22.0/-22.2, min/max -23.3/-20.0 Entropy 0.74885,V 0.05702,Action -0.04789
E 5000, N_steps 1280256, FPS 739 mean/median -22.8/-22.8, min/max -23.3/-22.2 Entropy 0.68737,V 0.01691,Action -0.03401
E 5200, N_steps 1331456, FPS 739 mean/median -22.6/-22.8, min/max -23.3/-21.1 Entropy 0.78592,V 0.04276,Action -0.04789
E 5400, N_steps 1382656, FPS 739 mean/median -22.4/-22.3, min/max -23.4/-21.1 Entropy 0.71891,V 0.01244,Action -0.03110
E 5600, N_steps 1433856, FPS 739 mean/median -22.2/-22.3, min/max -23.4/-20.0 Entropy 0.72238,V 0.00770,Action -0.05563
E 5800, N_steps 1485056, FPS 738 mean/median -22.3/-22.3, min/max -23.4/-21.2 Entropy 0.77795,V 0.00893,Action -0.05732
E 6000, N_steps 1536256, FPS 738 mean/median -22.7/-23.4, min/max -23.4/-21.2 Entropy 0.78003,V 0.02255,Action -0.03565
E 6200, N_steps 1587456, FPS 738 mean/median -21.7/-21.7, min/max -23.4/-20.1 Entropy 0.76523,V 0.01860,Action -0.04907
E 6400, N_steps 1638656, FPS 738 mean/median -23.0/-23.4, min/max -23.4/-21.2 Entropy 0.67491,V 0.00699,Action -0.05408
E 6600, N_steps 1689856, FPS 738 mean/median -22.7/-22.8, min/max -23.4/-21.2 Entropy 0.76394,V 0.05565,Action -0.07321
E 6800, N_steps 1741056, FPS 738 mean/median -22.0/-21.8, min/max -23.4/-20.1 Entropy 0.73455,V 0.03028,Action -0.03569
E 7000, N_steps 1792256, FPS 738 mean/median -22.0/-22.3, min/max -23.4/-20.1 Entropy 0.72931,V 0.00374,Action -0.05697
E 7200, N_steps 1843456, FPS 738 mean/median -22.6/-22.9, min/max -23.4/-20.1 Entropy 0.73958,V 0.02916,Action -0.04032
E 7400, N_steps 1894656, FPS 738 mean/median -22.5/-22.3, min/max -23.4/-21.2 Entropy 0.77622,V 0.03649,Action -0.03550
E 7600, N_steps 1945856, FPS 738 mean/median -21.8/-21.8, min/max -23.5/-19.0 Entropy 0.75350,V 0.02554,Action -0.03424
E 7800, N_steps 1997056, FPS 737 mean/median -22.8/-22.3, min/max -23.4/-22.3 Entropy 0.70495,V 0.01630,Action -0.03880
E 8000, N_steps 2048256, FPS 737 mean/median -22.7/-22.3, min/max -23.4/-21.2 Entropy 0.75352,V 0.05358,Action -0.04368
E 8200, N_steps 2099456, FPS 737 mean/median -23.0/-23.4, min/max -23.4/-22.3 Entropy 0.77648,V 0.04830,Action -0.04808
E 8400, N_steps 2150656, FPS 737 mean/median -22.4/-22.9, min/max -23.4/-20.1 Entropy 0.77070,V 0.04776,Action -0.03253
E 8600, N_steps 2201856, FPS 737 mean/median -22.0/-22.3, min/max -23.4/-20.1 Entropy 0.69577,V 0.07693,Action -0.04601
E 8800, N_steps 2253056, FPS 737 mean/median -21.5/-22.3, min/max -22.3/-20.1 Entropy 0.77102,V 0.02832,Action -0.03616
E 9000, N_steps 2304256, FPS 737 mean/median -22.7/-23.4, min/max -23.4/-21.2 Entropy 0.78836,V 0.04532,Action -0.03288
E 9200, N_steps 2355456, FPS 737 mean/median -22.4/-22.3, min/max -23.4/-20.1 Entropy 0.76617,V 0.00377,Action -0.04898
E 9400, N_steps 2406656, FPS 737 mean/median -22.4/-22.3, min/max -23.4/-21.2 Entropy 0.75649,V 0.05963,Action -0.05142
E 9600, N_steps 2457856, FPS 737 mean/median -22.8/-23.4, min/max -23.4/-21.2 Entropy 0.79368,V 0.00889,Action -0.04352
E 9800, N_steps 2509056, FPS 736 mean/median -22.3/-22.3, min/max -23.4/-18.9 Entropy 0.74127,V 0.03299,Action -0.03199
E 10000, N_steps 2560256, FPS 736 mean/median -22.7/-23.4, min/max -23.4/-21.2 Entropy 0.76807,V 0.03711,Action -0.03994
E 10200, N_steps 2611456, FPS 736 mean/median -21.9/-22.3, min/max -23.4/-20.1 Entropy 0.74844,V 0.02518,Action -0.02463
E 10400, N_steps 2662656, FPS 736 mean/median -22.1/-22.3, min/max -23.4/-17.8 Entropy 0.77239,V 0.09911,Action -0.04894
E 10600, N_steps 2713856, FPS 736 mean/median -22.2/-22.3, min/max -23.4/-21.2 Entropy 0.73470,V 0.05078,Action -0.03155
E 10800, N_steps 2765056, FPS 736 mean/median -22.5/-22.3, min/max -23.4/-21.2 Entropy 0.70738,V 0.00412,Action -0.05016
E 11000, N_steps 2816256, FPS 736 mean/median -22.8/-22.8, min/max -23.4/-22.3 Entropy 0.65358,V 0.02980,Action -0.03516
E 11200, N_steps 2867456, FPS 736 mean/median -22.1/-22.3, min/max -23.4/-20.1 Entropy 0.76359,V 0.01485,Action -0.03484
E 11400, N_steps 2918656, FPS 735 mean/median -22.6/-22.3, min/max -23.4/-21.2 Entropy 0.73824,V 0.02257,Action -0.04423
E 11600, N_steps 2969856, FPS 735 mean/median -23.0/-23.4, min/max -23.4/-22.3 Entropy 0.77000,V 0.03858,Action -0.02818
E 11800, N_steps 3021056, FPS 735 mean/median -22.4/-22.9, min/max -23.4/-20.1 Entropy 0.71781,V 0.00403,Action -0.04285
E 12000, N_steps 3072256, FPS 735 mean/median -22.5/-22.3, min/max -23.4/-21.2 Entropy 0.76585,V 0.00278,Action -0.03887
E 12200, N_steps 3123456, FPS 735 mean/median -22.6/-23.4, min/max -23.4/-20.1 Entropy 0.73777,V 0.02663,Action -0.03104
